participant_id,TRIAL_INDEX,image_id,voice_id,aoi_type,CURRENT_FIX_X,CURRENT_FIX_Y,distance_from_center,CURRENT_FIX_START,CURRENT_FIX_DURATION,CURRENT_FIX_INTEREST_AREA_LABEL
edf07,23,IMG_01,PWA,subject,1001.8,318.8,189.89641913422167,5587,219,s_girl_girl_lit_lamp
edf07,24,IMG_14,PWA,subject,774.7,138.9,396.3732205888788,5290,514,s_driver_driver_wash_scooter
edf07,25,IMG_05,PNA,subject,968.8,148.5,351.30169370499766,5569,3595,.
edf07,26,IMG_03,PNA,subject,939.0,319.8,178.91117908057058,5996,226,s_girl_girl_plant_tree
edf07,27,IMG_04,PNA,object,839.5,397.0,143.68416753421374,5768,382,o_shrub_man_cut_shrub
edf07,28,IMG_13,ACT,subject,767.8,695.4,262.08611180297214,6018,36,.
edf07,29,IMG_12,ACT,subject,958.7,259.7,239.65452217723745,5618,226,.
edf07,30,IMG_11,ACT,object,829.6,554.8,124.72838490095184,5686,152,o_tabla_child_play_tabla
edf07,31,IMG_07,PWA,subject,632.0,209.0,423.56474121437446,5524,210,s_artiste_artiste_drew_picture
edf07,32,IMG_15,PWA,subject,922.9,278.3,221.14196797532574,5874,2204,s_girl_girl_baked_cake
edf07,33,IMG_02,PWA,subject,905.3,387.2,117.07578741994436,5852,468,s_girl_girl_opened_window
edf07,34,IMG_16,PNA,subject,867.8,388.7,132.12963331516517,6724,328,s_girl_girl_fed_dog
edf07,35,IMG_18,PNA,subject,973.2,250.5,250.28000319641998,5459,2605,s_boy_boy_cut_vegetables
edf07,36,IMG_08,PNA,subject,721.4,381.0,249.15346676295718,6316,398,s_boy_boy_broke_vase
edf08,19,IMG_17,PWA,subject,974.3,352.3,150.1394351927567,6230,234,s_woman_woman_read_letter
edf08,20,IMG_09,PWA,object,905.7,594.6,102.19050836550332,5662,624,o_bucket_boy_filled_bucket
edf08,21,IMG_06,PWA,subject,963.5,311.3,188.74588737241402,5612,140,s_woman_woman_folded_clothes
edf08,22,IMG_10,PNA,subject,861.5,371.5,150.0002999997,8408,1466,s_boy_boy_opened_door
edf08,23,IMG_01,PNA,object,817.5,510.2,124.03426945808162,6376,238,o_lamp_girl_light_lamp
edf08,24,IMG_14,PNA,object,1018.0,396.9,127.6410592246868,6692,172,o_scooter_driver_wash_scooter
edf08,25,IMG_05,ACT,object,1124.1,434.6,193.99592779231207,5626,228,o_box_man_pushed_box
edf08,26,IMG_03,ACT,subject,981.8,396.0,110.50760154849074,5970,166,s_girl_girl_plant_tree
edf08,27,IMG_04,ACT,object,822.6,459.2,124.81510325277144,5932,224,o_shrub_man_cut_shrub
edf08,28,IMG_13,PWA,subject,1003.2,683.1,194.60781073739054,6400,308,.
edf08,29,IMG_12,PWA,subject,1065.7,436.8,139.21817410094133,5588,48,s_child_child_throw_frisbee
edf08,30,IMG_11,PWA,object,757.7,580.2,200.60194415807638,6210,378,o_tabla_child_play_tabla
edf08,31,IMG_07,PNA,object,1032.4,433.8,112.09803744936846,5896,322,o_picture_artiste_drew_picture
edf08,32,IMG_15,PNA,subject,895.9,301.9,201.90158493682017,6236,814,s_girl_girl_baked_cake
edf08,33,IMG_02,PNA,object,1089.8,431.2,163.39427774558075,5890,22,o_window_girl_opened_window
edf08,34,IMG_16,ACT,object,983.8,682.8,189.00965583800206,6012,230,o_dog_girl_fed_dog
edf08,35,IMG_18,ACT,object,925.0,792.4,294.1354959878185,5878,966,o_veg_boy_cut_vegetables
edf08,36,IMG_08,ACT,object,964.2,375.7,125.16884596416155,5694,4511,o_vase_boy_broke_vase
edf09,19,IMG_17,PNA,subject,961.5,346.6,153.4752748816564,5602,186,s_woman_woman_read_letter
edf09,20,IMG_09,PNA,subject,973.8,376.9,126.13912953560445,6406,332,s_boy_boy_filled_bucket
edf09,21,IMG_06,PNA,object,915.7,606.6,110.82644088844505,6124,292,o_clothes_woman_folded_clothes
edf09,22,IMG_10,ACT,subject,877.8,389.3,126.3431834330606,6150,346,s_boy_boy_opened_door
