participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,mean_saccade_amplitude,saccade_count,mean_saccade_velocity,mean_saccade_duration,saccade_rate
edf03,1,,free_viewing,,6038,2.2827272727272727,11,69.42272727272727,28.363636363636363,1.82179529645578
edf03,10,,free_viewing,,5832,3.1973333333333334,15,171.45866666666663,71.86666666666666,2.57201646090535
edf03,11,,free_viewing,,5661,4.344117647058824,17,104.75823529411763,38.588235294117645,3.0030030030030033
edf03,12,,free_viewing,,5905,2.5230769230769234,13,75.31384615384616,30.0,2.201524132091448
edf03,13,,free_viewing,,5709,2.6976923076923076,13,77.14307692307692,32.15384615384615,2.277106323349098
edf03,14,,free_viewing,,6016,2.6125,16,121.705625,48.5,2.6595744680851063
edf03,15,,free_viewing,,5803,2.6025,12,73.46499999999999,30.0,2.067895915905566
edf03,16,,free_viewing,,5787,2.7718749999999996,16,77.995,32.125,2.764817694833247
edf03,17,,free_viewing,,6080,4.028,15,95.78133333333332,37.2,2.4671052631578947
edf03,18,,free_viewing,,5841,3.6964285714285716,14,117.0542857142857,47.0,2.396849854476973
edf03,19,Punjabi,sentence_audio,passive_dropped_agent,10357,2.184615384615385,13,67.90153846153846,29.53846153846154,1.255189726754852
edf03,2,,free_viewing,,5813,3.561666666666666,12,90.13416666666666,33.666666666666664,2.0643385515224497
edf03,20,Punjabi,sentence_audio,passive_dropped_agent,10682,3.1369230769230763,13,134.77461538461537,51.53846153846154,1.217000561692567
edf03,21,Punjabi,sentence_audio,passive_dropped_agent,10456,3.7953333333333337,15,123.42133333333335,52.0,1.434583014537108
edf03,22,English,sentence_audio,active,11005,2.567,10,125.822,73.4,0.9086778736937755
edf03,23,English,sentence_audio,active,10183,3.707692307692307,13,140.22538461538463,56.61538461538461,1.2766375331434745
edf03,24,English,sentence_audio,active,10656,0.5599999999999999,15,45.18333333333333,34.0,1.4076576576576576
edf03,25,English,sentence_audio,passive,10316,4.04,14,134.77785714285716,63.142857142857146,1.3571151609150833
edf03,26,English,sentence_audio,passive,10716,3.2000000000000006,15,141.432,75.86666666666666,1.3997760358342666
edf03,27,English,sentence_audio,passive,10351,0.7047619047619048,21,47.09095238095238,56.666666666666664,2.0287894889382665
edf03,28,English,sentence_audio,passive_dropped_agent,10627,2.921538461538461,13,103.33,51.84615384615385,1.2232991436905993
edf03,29,English,sentence_audio,passive_dropped_agent,10719,0.43142857142857144,21,47.99809523809524,48.857142857142854,1.9591379792891128
edf03,3,,free_viewing,,5875,2.2250000000000005,10,106.63699999999999,43.8,1.702127659574468
edf03,30,English,sentence_audio,passive_dropped_agent,10994,3.5899999999999994,13,123.59384615384614,61.84615384615385,1.182463161724577
edf03,31,Punjabi,sentence_audio,active,11162,4.60875,16,137.27117647058824,56.0,1.4334348683031715
edf03,32,Punjabi,sentence_audio,active,10563,1.2353846153846153,13,66.81692307692308,42.46153846153846,1.230710972261668
edf03,33,Punjabi,sentence_audio,active,10627,2.994666666666667,15,99.42466666666665,43.733333333333334,1.4114990119506916
edf03,34,Punjabi,sentence_audio,passive,10783,2.977857142857143,14,112.33857142857143,47.285714285714285,1.2983399795975146
edf03,35,Punjabi,sentence_audio,passive,10785,3.8449999999999993,12,172.9533333333333,118.33333333333333,1.1126564673157162
edf03,36,Punjabi,sentence_audio,passive,10256,1.0776000000000001,25,67.9368,43.6,2.437597503900156
edf03,4,,free_viewing,,5956,3.7199999999999998,16,90.56125,37.875,2.6863666890530555
edf03,5,,free_viewing,,5880,1.8342857142857145,7,189.09571428571425,66.0,1.1904761904761905
edf03,6,,free_viewing,,6081,3.3885714285714283,14,87.95785714285714,33.57142857142857,2.302252918927808
edf03,7,,free_viewing,,5713,2.723333333333333,15,76.26933333333334,31.066666666666666,2.625590757920532
edf03,8,,free_viewing,,6122,3.1411111111111105,9,83.80000000000001,32.22222222222222,1.470107807905913
edf03,9,,free_viewing,,6016,3.4975,16,89.61,35.0,2.6595744680851063
edf04,1,,free_viewing,,5785,3.3239999999999994,10,91.78799999999998,34.0,1.7286084701815039
edf04,10,,free_viewing,,5716,3.5892307692307694,13,92.6353846153846,33.53846153846154,2.274317704688593
edf04,11,,free_viewing,,5669,2.96,2,88.725,33.0,0.35279590756747226
edf04,12,,free_viewing,,6065,2.57125,16,79.31125,30.0,2.6380873866446826
edf04,13,,free_viewing,,5686,3.935454545454546,11,104.09454545454545,38.0,1.9345761519521631
edf04,14,,free_viewing,,5949,2.2214285714285715,7,72.68857142857142,26.571428571428573,1.176668347621449
edf04,15,,free_viewing,,5845,3.686666666666667,6,96.19666666666667,38.666666666666664,1.0265183917878529
edf04,16,,free_viewing,,5954,2.0375,8,65.27,29.0,1.3436345314074571
edf04,17,,free_viewing,,6092,1.7027272727272724,11,93.8690909090909,49.63636363636363,1.8056467498358504
edf04,18,,free_viewing,,5976,2.6016666666666666,12,78.52833333333335,30.0,2.0080321285140563
edf04,19,English,sentence_audio,active,10316,3.3872727272727277,11,87.62636363636364,33.63636363636363,1.0663047692904226
edf04,2,,free_viewing,,5887,3.655625,16,95.223125,36.25,2.7178528962119928
edf04,20,English,sentence_audio,active,10720,3.9669999999999996,10,106.999,37.0,0.9328358208955223
edf04,21,English,sentence_audio,active,10974,3.3641666666666663,12,95.68250000000002,33.166666666666664,1.0934937124111537
edf04,22,English,sentence_audio,passive,10742,1.4142857142857144,7,108.4242857142857,46.0,0.6516477378514243
edf04,23,English,sentence_audio,passive,10465,4.270833333333334,12,145.34666666666666,60.666666666666664,1.1466794075489728
edf04,24,English,sentence_audio,passive,10942,4.365454545454546,11,108.18090909090911,37.81818181818182,1.0053006762931822
edf04,25,English,sentence_audio,passive_dropped_agent,10268,4.456666666666667,9,109.68666666666667,38.22222222222222,0.8765095442150369
edf04,26,English,sentence_audio,passive_dropped_agent,10589,4.2490000000000006,10,110.526,36.8,0.9443762394938143
edf04,27,English,sentence_audio,passive_dropped_agent,10787,5.1499999999999995,14,128.83214285714286,56.857142857142854,1.2978585334198571
edf04,28,Punjabi,sentence_audio,active,11141,2.3185714285714285,7,75.52428571428572,29.142857142857142,0.6283098465128804
edf04,29,Punjabi,sentence_audio,active,10477,3.209090909090909,11,100.36181818181818,42.90909090909091,1.0499188699055073
