participant_id,trial_id,TRIAL_INDEX,saccade_transition,sentence,voice_id,mean_amplitude,mean_duration,n_transitions
P45,P45_30,30,subject_to_object,exp_images/sentences/noagent_girl_window.jpg,PNA,5.62,60.0,1
P45,P45_30,30,subject_to_subject,exp_images/sentences/noagent_girl_window.jpg,PNA,0.85,20.0,1
P45,P45_31,31,object_to_object,exp_images/sentences/Dog-dug.jpg,ACT,1.35,26.0,1
P45,P45_31,31,subject_to_object,exp_images/sentences/Dog-dug.jpg,ACT,2.77,34.0,1
P45,P45_31,31,subject_to_subject,exp_images/sentences/Dog-dug.jpg,ACT,1.0999999999999999,22.666666666666668,3
P45,P45_32,32,object_to_object,exp_images/sentences/Veg.jpg,ACT,1.84,31.142857142857142,7
P45,P45_32,32,object_to_subject,exp_images/sentences/Veg.jpg,ACT,5.115,45.0,2
P45,P45_32,32,subject_to_object,exp_images/sentences/Veg.jpg,ACT,5.425,45.0,2
P45,P45_32,32,subject_to_subject,exp_images/sentences/Veg.jpg,ACT,0.865,20.0,2
P45,P45_33,33,object_to_object,exp_images/sentences/Cake.jpg,ACT,1.5966666666666667,64.66666666666667,3
P45,P45_33,33,object_to_subject,exp_images/sentences/Cake.jpg,ACT,3.54,40.0,2
P45,P45_33,33,subject_to_object,exp_images/sentences/Cake.jpg,ACT,4.283333333333333,44.0,3
P45,P45_33,33,subject_to_subject,exp_images/sentences/Cake.jpg,ACT,0.77,20.0,2
P45,P45_34,34,object_to_object,exp_images/sentences/Folded-clothes-passive.jpg,PWA,1.7642857142857142,65.71428571428571,7
P45,P45_34,34,object_to_subject,exp_images/sentences/Folded-clothes-passive.jpg,PWA,4.92,46.0,1
P45,P45_34,34,subject_to_object,exp_images/sentences/Folded-clothes-passive.jpg,PWA,3.3,38.0,1
P45,P45_34,34,subject_to_subject,exp_images/sentences/Folded-clothes-passive.jpg,PWA,2.2175000000000002,30.5,4
P45,P45_35,35,object_to_object,exp_images/sentences/Letter-passive.jpg,PWA,1.3,24.4,5
P45,P45_35,35,object_to_subject,exp_images/sentences/Letter-passive.jpg,PWA,3.9499999999999997,81.33333333333333,3
P45,P45_35,35,subject_to_object,exp_images/sentences/Letter-passive.jpg,PWA,5.45,53.0,2
P45,P45_36,36,object_to_object,exp_images/sentences/Lamp-passive.jpg,PWA,0.8375,19.0,4
P45,P45_36,36,object_to_subject,exp_images/sentences/Lamp-passive.jpg,PWA,5.46,48.0,2
P45,P45_36,36,subject_to_object,exp_images/sentences/Lamp-passive.jpg,PWA,4.775,42.5,4
P45,P45_36,36,subject_to_subject,exp_images/sentences/Lamp-passive.jpg,PWA,2.328333333333333,30.666666666666668,6
P45,P45_4,4,object_to_object,UNDEFINED,UNDEFINED,4.4,44.0,1
P45,P45_4,4,object_to_subject,UNDEFINED,UNDEFINED,4.0,39.0,2
P45,P45_4,4,subject_to_subject,UNDEFINED,UNDEFINED,1.0833333333333333,74.0,3
