participant_id,trial_id,TRIAL_INDEX,sentence,voice_id,image_id,stim_id,total_trial_duration,mean_fixation_duration,total_trial_fixations,trial_start_time,trial_end_time,trial_duration,merge_key,n_saccades,mean_saccade_amplitude,mean_saccade_duration,mean_saccade_velocity,mean_peak_velocity,mean_fixation_duration_object,mean_fixation_duration_other,mean_fixation_duration_subject,n_fixations_object,n_fixations_other,n_fixations_subject,time_to_first_fixation_object,time_to_first_fixation_other,time_to_first_fixation_subject,total_fixation_duration_object,total_fixation_duration_other,total_fixation_duration_subject
edf27,edf27_20,20,exp_images/sentences/Bucket-woa.jpg,PNA,IMG_09,STIM_45,4889,977.8,5,5351,10344,4993,edf27|20|exp_images/sentences/Bucket-woa.jpg,4.0,1.9625,26.0,70.81,102.2575,1162.25,,240.0,4.0,,1.0,0.0,,787.0,4649.0,,240.0
edf27,edf27_21,21,exp_images/sentences/Folded-clothes-woa.jpg,PNA,IMG_06,STIM_42,4633,421.1818181818182,11,5637,10630,4993,edf27|21|exp_images/sentences/Folded-clothes-woa.jpg,10.0,3.675,36.0,91.596,154.22,439.375,,372.6666666666667,8.0,,3.0,0.0,,757.0,3515.0,,1118.0
edf27,edf27_22,22,exp_images/sentences/active_boy_door.jpg,ACT,IMG_10,STIM_64,4850,606.25,8,5469,10461,4992,edf27|22|exp_images/sentences/active_boy_door.jpg,7.0,1.0071428571428571,20.285714285714285,46.68857142857143,62.67857142857143,429.2,,901.3333333333334,5.0,,3.0,0.0,,1715.0,2146.0,,2704.0
edf27,edf27_23,23,exp_images/sentences/active_girl_lamp.jpg,ACT,IMG_01,STIM_55,4777,682.4285714285714,7,5539,10532,4993,edf27|23|exp_images/sentences/active_girl_lamp.jpg,6.0,4.36,36.0,116.95666666666666,197.91,970.5,,298.3333333333333,4.0,,3.0,243.0,,0.0,3882.0,,895.0
edf27,edf27_24,24,exp_images/sentences/active_driver_scooter.jpg,ACT,IMG_14,STIM_68,4335,333.46153846153845,13,5650,10615,4965,edf27|24|exp_images/sentences/active_driver_scooter.jpg,13.0,3.673076923076923,50.46153846153846,147.19692307692307,383.1476923076923,432.8333333333333,,248.28571428571428,6.0,,7.0,306.0,,0.0,2597.0,,1738.0
edf27,edf27_25,25,exp_images/sentences/passive_man_box.jpg,PWA,IMG_05,STIM_77,4773,596.625,8,6120,11113,4993,edf27|25|exp_images/sentences/passive_man_box.jpg,7.0,2.7114285714285717,31.428571428571427,80.55285714285715,114.92857142857144,519.4,,725.3333333333334,5.0,,3.0,278.0,,0.0,2597.0,,2176.0
edf27,edf27_26,26,exp_images/sentences/passive_girl_sapling.jpg,PWA,IMG_03,STIM_75,4341,333.9230769230769,13,5536,10529,4993,edf27|26|exp_images/sentences/passive_girl_sapling.jpg,12.0,2.9258333333333333,54.333333333333336,93.4175,174.3691666666667,318.375,,358.8,8.0,,5.0,280.0,,0.0,2547.0,,1794.0
edf27,edf27_27,27,exp_images/sentences/passive_man_shrub.jpg,PWA,IMG_04,STIM_76,4279,534.875,8,5342,10333,4991,edf27|27|exp_images/sentences/passive_man_shrub.jpg,7.0,8.654285714285715,101.71428571428572,314.2142857142857,1616.2385714285715,722.6,218.0,230.0,5.0,2.0,1.0,262.0,2868.0,0.0,3613.0,436.0,230.0
edf27,edf27_28,28,exp_images/sentences/noagent_dog_hole.jpg,PNA,IMG_13,STIM_103,4372,364.3333333333333,12,5807,10799,4992,edf27|28|exp_images/sentences/noagent_dog_hole.jpg,11.0,2.829090909090909,56.36363636363637,97.42,354.05,378.55555555555554,186.5,592.0,9.0,2.0,1.0,469.0,0.0,1297.0,3407.0,373.0,592.0
edf27,edf27_29,29,exp_images/sentences/noagent_child_frisbee.jpg,PNA,IMG_12,STIM_102,4679,467.9,10,5649,10642,4993,edf27|29|exp_images/sentences/noagent_child_frisbee.jpg,9.0,3.1766666666666667,34.888888888888886,87.64777777777778,150.90444444444444,340.0,377.3333333333333,729.0,4.0,3.0,3.0,417.0,305.0,0.0,1360.0,1132.0,2187.0
edf27,edf27_3,3,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,4620,420.0,11,760,5752,4992,edf27|3|UNDEFINEDnull,,,,,,454.8,,391.0,5.0,,6.0,266.0,,0.0,2274.0,,2346.0
edf27,edf27_30,30,exp_images/sentences/noagent_child_tabla.jpg,PNA,IMG_11,STIM_101,4613,384.4166666666667,12,6001,10992,4991,edf27|30|exp_images/sentences/noagent_child_tabla.jpg,11.0,3.679090909090909,34.36363636363637,92.93363636363635,163.16,489.7142857142857,255.0,232.5,7.0,1.0,4.0,299.0,0.0,1215.0,3428.0,255.0,930.0
