participant_id,trial_id,language,session_type,sentence_type,fixation_trial_length_ms,fixation_total_fixation_duration,fixation_mean_fixation_duration,fixation_fixation_count,fixation_mean_fixation_x,fixation_mean_fixation_y,interest_area_trial_length_ms,interest_area_total_interest_area_dwell_time,interest_area_total_interest_area_entry_count,interest_area_min_time_to_first_fixation,interest_area_interest_area_dwell_time_normalized,saccade_trial_length_ms,saccade_mean_saccade_amplitude,saccade_saccade_count,saccade_mean_saccade_velocity,saccade_mean_saccade_duration,saccade_saccade_rate
edf15,18,,free_viewing,,5743.0,4147.0,243.94117647058823,17.0,845.8529411764705,396.6117647058823,4367.0,4367,10,750.0,1.0,5743.0,2.5905882352941174,17.0,90.05705882352943,36.8235294117647,2.960125370015671
edf15,19,Punjabi,sentence_audio,passive_dropped_agent,11052.0,4272.0,251.2941176470588,17.0,915.6529411764706,508.6705882352941,4438.0,3496,8,6256.0,0.7877422262280307,11052.0,3.014705882352941,17.0,86.78941176470587,32.588235294117645,1.5381831342743395
edf15,2,,free_viewing,,5783.0,4005.0,190.71428571428572,21.0,971.7238095238096,491.08571428571435,4303.0,4303,7,790.0,1.0,5783.0,3.183333333333333,21.0,86.48238095238094,32.857142857142854,3.6313332180529136
edf15,20,Punjabi,sentence_audio,passive_dropped_agent,10473.0,4409.0,400.8181818181818,11.0,941.2909090909089,434.19090909090914,4650.0,4650,9,5481.0,1.0,10473.0,1.8099999999999996,11.0,80.23727272727274,31.09090909090909,1.0503198701422705
edf15,21,Punjabi,sentence_audio,passive_dropped_agent,11112.0,4112.0,228.44444444444446,18.0,966.9888888888888,464.2277777777778,4522.0,4390,8,6120.0,0.9708093763821318,11112.0,1.798888888888889,18.0,61.25277777777779,26.11111111111111,1.6198704103671706
edf15,22,English,sentence_audio,active,10627.0,4125.0,206.25,20.0,918.515,604.185,4320.0,3557,10,5866.0,0.8233796296296296,10627.0,3.5164999999999997,20.0,91.4375,33.6,1.881998682600922
edf15,23,English,sentence_audio,active,10897.0,4073.0,214.3684210526316,19.0,953.9105263157896,486.79473684210535,4338.0,4338,5,5905.0,1.0,10897.0,3.758421052631579,19.0,97.48894736842107,34.421052631578945,1.7435991557309352
edf15,24,English,sentence_audio,active,10182.0,3616.0,172.1904761904762,21.0,873.6095238095238,395.1952380952381,3849.0,3717,10,5189.0,0.965705378020265,10182.0,3.325714285714285,21.0,120.3804761904762,54.476190476190474,2.0624631703005303
edf15,25,English,sentence_audio,passive,10286.0,4254.0,327.2307692307692,13.0,788.5307692307694,631.323076923077,4421.0,4421,6,5293.0,1.0,10286.0,3.073076923076923,13.0,91.28461538461539,44.0,1.2638537818393933
edf15,26,English,sentence_audio,passive,10322.0,4120.0,316.9230769230769,13.0,1019.1076923076923,359.1384615384616,4344.0,3830,5,5588.0,0.8816758747697975,10322.0,3.1976923076923076,13.0,116.62769230769229,49.84615384615385,1.2594458438287155
edf15,27,English,sentence_audio,passive,10865.0,4273.0,305.2142857142857,14.0,859.9857142857144,392.27142857142866,4442.0,4442,8,5873.0,1.0,10865.0,2.5042857142857144,14.0,88.89714285714285,39.285714285714285,1.2885411872986654
edf15,28,English,sentence_audio,passive_dropped_agent,10554.0,3916.0,195.8,20.0,997.68,345.64,4084.0,4084,9,5664.0,1.0,10554.0,2.655238095238095,21.0,116.58190476190478,44.857142857142854,1.9897669130187605
edf15,29,English,sentence_audio,passive_dropped_agent,10405.0,4259.0,250.52941176470588,17.0,868.3941176470588,424.72352941176473,4461.0,4461,6,5412.0,1.0,10405.0,3.005294117647059,17.0,84.20941176470588,31.294117647058822,1.6338298894762135
edf15,3,,free_viewing,,6024.0,4138.0,229.88888888888889,18.0,1037.0111111111112,418.8166666666666,4339.0,3944,6,1272.0,0.90896519935469,6024.0,3.81,18.0,98.15888888888887,36.333333333333336,2.9880478087649402
edf15,30,English,sentence_audio,passive_dropped_agent,10720.0,3646.0,227.875,16.0,944.46875,418.05,3890.0,3646,7,5998.0,0.9372750642673522,10720.0,3.73,16.0,131.92687500000002,68.875,1.4925373134328357
edf15,31,Punjabi,sentence_audio,active,10591.0,3901.0,205.31578947368422,19.0,960.521052631579,619.615789473684,4091.0,3683,8,5598.0,0.900268882913713,10591.0,2.751052631578947,19.0,129.5457894736842,47.473684210526315,1.7939760173732415
edf15,32,Punjabi,sentence_audio,active,10420.0,3882.0,242.625,16.0,983.3499999999999,663.525,4079.0,4033,6,5427.0,0.9887227261583722,10420.0,2.9612499999999997,16.0,99.88124999999998,57.125,1.5355086372360844
edf15,33,Punjabi,sentence_audio,active,10713.0,4224.0,234.66666666666666,18.0,900.4944444444443,444.3833333333333,4392.0,3948,8,5922.0,0.8989071038251366,10713.0,2.733157894736842,19.0,79.40157894736842,32.63157894736842,1.7735461588723982
edf15,34,Punjabi,sentence_audio,passive,10564.0,3910.0,230.0,17.0,958.9705882352943,521.835294117647,4115.0,4115,8,5571.0,1.0,10564.0,2.63,17.0,112.04411764705884,51.64705882352941,1.6092389246497538
edf15,35,Punjabi,sentence_audio,passive,10834.0,4368.0,291.2,15.0,1014.98,500.66,4561.0,4561,5,5841.0,1.0,10834.0,2.2100000000000004,15.0,71.11933333333332,28.8,1.3845301827579841
edf15,36,Punjabi,sentence_audio,passive,10799.0,4117.0,216.68421052631578,19.0,852.9684210526316,443.06315789473666,4280.0,4117,5,6002.0,0.9619158878504673,10799.0,2.816842105263158,19.0,86.27842105263159,37.473684210526315,1.7594221687193259
edf15,4,,free_viewing,,5790.0,4116.0,242.11764705882354,17.0,950.964705882353,357.6058823529412,4279.0,4279,12,797.0,1.0,5790.0,1.9500000000000002,18.0,121.92166666666668,40.333333333333336,3.1088082901554404
edf15,5,,free_viewing,,6033.0,4129.0,206.45,20.0,1047.45,708.12,4375.0,4312,5,1040.0,0.9856,6033.0,2.646,20.0,79.053,30.9,3.315100281783524
edf15,6,,free_viewing,,6120.0,4004.0,235.52941176470588,17.0,952.5411764705881,433.1705882352941,4234.0,4196,3,1128.0,0.9910250354274918,6120.0,2.8776470588235297,17.0,128.34764705882353,44.588235294117645,2.7777777777777777
edf15,7,,free_viewing,,5786.0,4258.0,354.8333333333333,12.0,954.6916666666667,418.1499999999999,4546.0,4546,7,794.0,1.0,5786.0,2.0991666666666666,12.0,104.2675,37.166666666666664,2.073971655720705
edf15,8,,free_viewing,,5697.0,4015.0,191.1904761904762,21.0,999.0904761904762,529.2666666666667,4236.0,2267,4,954.0,0.5351746931067044,5697.0,2.8790476190476193,21.0,87.71571428571428,36.0,3.686150605581885
edf15,9,,free_viewing,,6031.0,4126.0,217.1578947368421,19.0,844.7947368421053,525.5842105263158,4387.0,3995,7,1039.0,0.9106450877592888,6031.0,3.0205,20.0,83.08849999999998,31.2,3.3161996352180405
edf16,1,,free_viewing,,6100.0,4260.0,387.27272727272725,11.0,1017.1454545454548,498.5181818181818,4529.0,4529,7,1105.0,1.0,6100.0,3.1872727272727275,11.0,139.86,42.36363636363637,1.8032786885245902
edf16,10,,free_viewing,,6054.0,4412.0,441.2,10.0,1034.9299999999998,391.27,4597.0,4597,8,1061.0,1.0,6054.0,3.1320000000000006,10.0,112.228,39.6,1.6518004625041294
edf16,11,,free_viewing,,5645.0,4477.0,895.4,5.0,947.2,482.48,4695.0,4695,4,788.0,1.0,5645.0,2.838333333333333,6.0,158.25666666666666,52.0,1.062887511071745
edf16,12,,free_viewing,,6029.0,4519.0,903.8,5.0,1040.48,404.85999999999996,4806.0,4519,4,1358.0,0.9402829796088223,6029.0,4.022,5.0,103.91,37.2,0.829324929507381
edf16,13,,free_viewing,,5718.0,4372.0,437.2,10.0,828.0099999999999,443.07,4593.0,4593,4,725.0,1.0,5718.0,4.1579999999999995,10.0,97.761,40.0,1.7488632388947185
edf16,14,,free_viewing,,6055.0,4585.0,1146.25,4.0,963.6000000000001,455.57499999999993,4789.0,4789,3,1062.0,1.0,6055.0,1.9899999999999998,4.0,152.64749999999998,51.0,0.6606110652353427
edf16,15,,free_viewing,,6133.0,4079.0,291.35714285714283,14.0,952.6571428571431,466.6857142857143,4255.0,4111,7,1140.0,0.9661574618096357,6133.0,4.345714285714286,14.0,199.91571428571433,52.714285714285715,2.282732757215066
edf16,16,,free_viewing,,5991.0,4647.0,1161.75,4.0,987.95,656.475,4860.0,4860,4,999.0,1.0,5991.0,3.5149999999999997,4.0,102.2775,33.0,0.6676681689200468
edf16,17,,free_viewing,,5697.0,4563.0,760.5,6.0,987.3166666666666,313.0,4758.0,4563,5,934.0,0.9590163934426229,5697.0,3.783333333333333,6.0,90.46666666666665,39.0,1.05318588730911
edf16,18,,free_viewing,,6074.0,4436.0,1109.0,4.0,937.675,461.625,4790.0,4790,4,1154.0,1.0,6074.0,2.69,5.0,169.252,62.8,0.8231807704972012
edf16,19,English,sentence_audio,active,10205.0,4219.0,421.9,10.0,935.28,497.68999999999994,4471.0,3599,6,5490.0,0.8049653321404607,10205.0,4.013999999999999,10.0,129.078,52.4,0.9799118079372856
edf16,2,,free_viewing,,5689.0,4303.0,391.1818181818182,11.0,912.2727272727273,578.8909090909091,4536.0,4244,9,697.0,0.935626102292769,5689.0,4.379090909090909,11.0,99.9372727272727,41.45454545454545,1.9335559852346633
edf16,20,English,sentence_audio,active,10476.0,4494.0,642.0,7.0,933.0285714285714,455.24285714285713,4656.0,4406,5,5484.0,0.9463058419243986,10476.0,1.2285714285714284,7.0,177.93,48.0,0.6681939671630392
edf16,21,English,sentence_audio,active,10750.0,106.0,106.0,1.0,964.7,546.9,4846.0,4846,1,5758.0,1.0,10750.0,1.28,1.0,368.67,146.0,0.09302325581395349
edf16,22,English,sentence_audio,passive,10825.0,4434.0,554.25,8.0,914.2624999999999,536.725,4634.0,4634,5,5832.0,1.0,10825.0,2.5144444444444445,9.0,121.3188888888889,41.77777777777778,0.8314087759815243
