participant_id,data_file,TRIAL_INDEX,TRIAL_LABEL,TRIAL_START_TIME,IA_LABEL,IA_DWELL_TIME,IA_FIXATION_COUNT,IA_FIRST_FIXATION_TIME,IA_FIRST_FIXATION_DURATION,IA_FIRST_FIXATION_INDEX,IA_AREA,IA_LEFT,IA_RIGHT,IA_TOP,IA_BOTTOM,TRIAL_DWELL_TIME,TRIAL_FIXATION_COUNT,TRIAL_IA_COUNT,sentence,voice_id,image_id,stim_id,image,stimulus_file,session_var,exp_id,language,audio,aoi_type,trial_id,sentence_clean
edf01,interest_area_edf01_2025_04_08_13_47.xls,13,Trial: 13,2432758,s_girl_girl_fed_dog,1142,4,4024.0,168.0,9.0,131575.0,613.0,890.0,184.0,659.0,4512.0,14,2,UNDEFINED,UNDEFINED,IMG_16,UNDEFINED,exp_images/images/girl_fed_dog.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_13,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,13,Trial: 13,2432758,o_dog_girl_fed_dog,1580,6,820.0,236.0,1.0,75046.5,,,,,4512.0,14,2,UNDEFINED,UNDEFINED,IMG_16,UNDEFINED,exp_images/images/girl_fed_dog.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_13,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,14,Trial: 14,2442368,s_boy_boy_broke_vase,712,2,4118.0,346.0,9.0,99081.0,539.0,842.0,235.0,562.0,4665.0,13,2,UNDEFINED,UNDEFINED,IMG_08,UNDEFINED,exp_images/images/boy_broke_vase.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_14,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,14,Trial: 14,2442368,o_vase_boy_broke_vase,3517,10,764.0,16.0,1.0,133227.0,847.0,1186.0,269.0,662.0,4665.0,13,2,UNDEFINED,UNDEFINED,IMG_08,UNDEFINED,exp_images/images/boy_broke_vase.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_14,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,15,Trial: 15,2451934,s_boy_boy_cut_vegetables,268,1,718.0,268.0,1.0,176730.0,774.0,1185.0,121.0,551.0,4714.0,10,2,UNDEFINED,UNDEFINED,IMG_18,UNDEFINED,exp_images/images/boy_cut_vegetables.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_15,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,15,Trial: 15,2451934,o_veg_boy_cut_vegetables,4446,9,1024.0,204.0,2.0,162792.0,728.0,1232.0,653.0,976.0,4714.0,10,2,UNDEFINED,UNDEFINED,IMG_18,UNDEFINED,exp_images/images/boy_cut_vegetables.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_15,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,16,Trial: 16,2461436,s_artiste_artiste_drew_picture,1594,5,3010.0,190.0,7.0,282846.0,520.0,874.0,167.0,966.0,4534.0,15,2,UNDEFINED,UNDEFINED,IMG_07,UNDEFINED,exp_images/images/artiste_drew_picture.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_16,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,16,Trial: 16,2461436,o_picture_artiste_drew_picture,2750,9,1048.0,224.0,1.0,306460.0,909.0,1294.0,170.0,966.0,4534.0,15,2,UNDEFINED,UNDEFINED,IMG_07,UNDEFINED,exp_images/images/artiste_drew_picture.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_16,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,17,Trial: 17,2471256,o_box_man_pushed_box,908,3,1428.0,302.0,2.0,178451.0,1014.0,1385.0,311.0,792.0,4673.0,12,2,UNDEFINED,UNDEFINED,IMG_05,UNDEFINED,exp_images/images/man_pushed_box.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,object,edf01_17,UNDEFINED
edf01,interest_area_edf01_2025_04_08_13_47.xls,17,Trial: 17,2471256,s_man_man_pushed_box,3765,9,1143.0,249.0,1.0,189880.0,580.0,984.0,199.0,669.0,4673.0,12,2,UNDEFINED,UNDEFINED,IMG_05,UNDEFINED,exp_images/images/man_pushed_box.jpg,UNDEFINED,free_view,UNDEFINED,UNDEFINED,UNDEFINED,subject,edf01_17,UNDEFINED
