participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_fixation_duration,mean_fixation_duration,fixation_count,mean_fixation_x,mean_fixation_y
edf03,23,English,sentence_audio,active,10183,4031,310.0769230769231,13,783.0076923076923,412.8769230769231
edf03,24,English,sentence_audio,active,10656,4406,293.73333333333335,15,639.44,480.2733333333334
edf03,25,English,sentence_audio,passive,10316,3850,275.0,14,841.2071428571428,410.22142857142853
edf03,26,English,sentence_audio,passive,10716,3650,243.33333333333334,15,855.6133333333332,518.4066666666666
edf03,27,English,sentence_audio,passive,10351,3620,190.52631578947367,19,634.5421052631579,476.7947368421052
edf03,28,English,sentence_audio,passive_dropped_agent,10627,4133,317.9230769230769,13,858.7461538461538,656.6384615384615
edf03,29,English,sentence_audio,passive_dropped_agent,10719,3791,180.52380952380952,21,627.0619047619048,480.8857142857144
edf03,3,,free_viewing,,5875,4035,403.5,10,925.6899999999999,393.09000000000003
edf03,30,English,sentence_audio,passive_dropped_agent,10994,3890,299.2307692307692,13,890.1307692307693,531.9769230769232
edf03,31,Punjabi,sentence_audio,active,11162,3786,236.625,16,831.31875,464.64375000000007
edf03,32,Punjabi,sentence_audio,active,10563,4097,315.15384615384613,13,710.3615384615385,463.69230769230774
edf03,33,Punjabi,sentence_audio,active,10627,4189,279.26666666666665,15,946.9066666666666,404.3466666666667
edf03,34,Punjabi,sentence_audio,passive,10783,4121,294.35714285714283,14,848.2214285714284,607.4142857142857
edf03,35,Punjabi,sentence_audio,passive,10785,3368,306.1818181818182,11,948.7727272727273,624.3363636363637
edf03,36,Punjabi,sentence_audio,passive,10256,3668,146.72,25,645.904,474.57200000000006
edf03,4,,free_viewing,,5956,4136,275.73333333333335,15,768.14,337.1333333333333
edf03,5,,free_viewing,,5880,4250,607.1428571428571,7,886.8571428571429,415.75714285714287
edf03,6,,free_viewing,,6081,4223,301.64285714285717,14,938.0142857142856,684.9357142857142
edf03,7,,free_viewing,,5713,4263,284.2,15,926.0799999999999,468.77333333333337
edf03,8,,free_viewing,,6122,4432,492.44444444444446,9,927.9888888888888,483.36666666666656
edf03,9,,free_viewing,,6016,4210,263.125,16,843.1374999999999,518.875
edf04,1,,free_viewing,,5785,4403,440.3,10,1017.74,354.10999999999996
edf04,10,,free_viewing,,5716,4184,321.84615384615387,13,966.4076923076923,479.88461538461536
edf04,11,,free_viewing,,5669,4621,2310.5,2,943.5,378.5
edf04,12,,free_viewing,,6065,4268,284.53333333333336,15,879.56,625.1933333333333
edf04,13,,free_viewing,,5686,4266,387.8181818181818,11,935.8272727272725,539.9545454545455
edf04,14,,free_viewing,,5949,4477,639.5714285714286,7,1012.7142857142856,441.45714285714286
edf04,15,,free_viewing,,5845,4299,716.5,6,930.7666666666668,507.9333333333334
edf04,16,,free_viewing,,5954,4492,561.5,8,837.725,497.74999999999994
edf04,17,,free_viewing,,6092,4210,382.72727272727275,11,975.9,421.3363636363636
edf04,18,,free_viewing,,5976,4336,361.3333333333333,12,951.4333333333333,511.24166666666673
edf04,19,English,sentence_audio,active,10316,4386,398.72727272727275,11,935.1181818181819,513.1363636363636
edf04,2,,free_viewing,,5887,4146,276.4,15,959.5800000000002,407.3066666666666
edf04,20,English,sentence_audio,active,10720,4392,439.2,10,996.7000000000002,528.52
edf04,21,English,sentence_audio,active,10974,4376,364.6666666666667,12,969.2916666666666,424.7166666666667
edf04,22,English,sentence_audio,passive,10742,4220,602.8571428571429,7,883.4571428571429,418.27142857142854
edf04,23,English,sentence_audio,passive,10465,3979,331.5833333333333,12,948.0750000000002,435.77500000000003
edf04,24,English,sentence_audio,passive,10942,4322,392.90909090909093,11,1011.081818181818,623.1818181818182
edf04,25,English,sentence_audio,passive_dropped_agent,10268,4144,460.44444444444446,9,995.7000000000002,434.96666666666664
edf04,26,English,sentence_audio,passive_dropped_agent,10589,4281,428.1,10,826.8699999999999,567.6000000000001
edf04,27,English,sentence_audio,passive_dropped_agent,10787,3941,281.5,14,930.6714285714285,470.6928571428571
edf04,28,Punjabi,sentence_audio,active,11141,4637,662.4285714285714,7,910.9714285714286,665.5142857142856
edf04,29,Punjabi,sentence_audio,active,10477,4313,392.09090909090907,11,1086.081818181818,420.3272727272726
edf04,3,,free_viewing,,5990,4260,387.27272727272725,11,970.4727272727273,557.1636363636363
edf04,30,Punjabi,sentence_audio,active,10446,4312,431.2,10,869.5,486.89000000000004
edf04,31,Punjabi,sentence_audio,passive,10415,4311,287.4,15,911.9133333333334,400.56
edf04,32,Punjabi,sentence_audio,passive,11167,4417,401.54545454545456,11,910.5,464.05454545454546
edf04,33,Punjabi,sentence_audio,passive,10939,4343,434.3,10,1082.76,415.15999999999997
edf04,34,Punjabi,sentence_audio,passive_dropped_agent,10449,4075,291.07142857142856,14,929.9857142857142,690.5357142857143
edf04,35,Punjabi,sentence_audio,passive_dropped_agent,10256,4450,370.8333333333333,12,989.2249999999999,728.2916666666665
edf04,36,Punjabi,sentence_audio,passive_dropped_agent,10522,4074,509.25,8,910.6125,458.15000000000003
edf04,4,,free_viewing,,5683,4347,310.5,14,1009.8857142857144,644.9714285714286
edf04,5,,free_viewing,,5874,4488,561.0,8,914.175,470.2875
edf04,6,,free_viewing,,5663,3975,1987.5,2,940.5,469.54999999999995
edf04,7,,free_viewing,,5669,3707,3707.0,1,967.7,467.6
edf04,8,,free_viewing,,5643,4343,434.3,10,989.46,540.38
edf04,9,,free_viewing,,6009,4293,429.3,10,1002.5400000000002,573.2099999999999
edf05,1,,free_viewing,,6119,4318,431.8,10,1095.42,375.4
edf05,10,,free_viewing,,5965,4057,368.8181818181818,11,1085.9636363636362,412.4454545454546
edf05,11,,free_viewing,,5969,4301,358.4166666666667,12,993.0666666666666,381.44166666666666
edf05,12,,free_viewing,,5635,4061,338.4166666666667,12,928.9250000000001,469.02500000000003
edf05,13,,free_viewing,,6045,4191,349.25,12,914.3666666666667,643.9333333333334
edf05,14,,free_viewing,,5836,4020,335.0,12,891.1500000000002,472.78333333333336
edf05,15,,free_viewing,,5942,4172,347.6666666666667,12,928.1750000000002,622.7583333333333
edf05,16,,free_viewing,,5979,4309,331.46153846153845,13,1049.2999999999997,503.5153846153847
edf05,17,,free_viewing,,6042,3946,358.72727272727275,11,790.6272727272728,507.57272727272726
edf05,18,,free_viewing,,5808,4170,320.7692307692308,13,1035.0538461538463,670.1076923076923
edf05,19,English,sentence_audio,passive,11157,4326,360.5,12,1054.6333333333334,520.9333333333334
edf05,2,,free_viewing,,5754,4308,287.2,15,923.6199999999998,417.5466666666667
edf05,20,English,sentence_audio,passive,10586,3842,426.8888888888889,9,998.0222222222221,391.9666666666667
edf05,21,English,sentence_audio,passive,10302,3784,315.3333333333333,12,920.6333333333336,491.25833333333327
edf05,22,English,sentence_audio,passive_dropped_agent,10818,4216,527.0,8,941.9625,350.0625
edf05,23,English,sentence_audio,passive_dropped_agent,10721,4223,422.3,10,887.1600000000001,425.96000000000004
edf05,24,English,sentence_audio,passive_dropped_agent,10344,3938,393.8,10,913.9,317.72
edf05,25,Punjabi,sentence_audio,active,10328,3960,360.0,11,1079.0181818181818,381.57272727272726
edf05,26,Punjabi,sentence_audio,active,10471,4117,457.44444444444446,9,860.3222222222223,427.23333333333335
edf05,27,Punjabi,sentence_audio,active,10579,3977,284.07142857142856,14,926.0214285714285,368.0857142857143
edf05,28,Punjabi,sentence_audio,passive,10999,4113,342.75,12,978.6583333333332,625.5916666666666
edf05,29,Punjabi,sentence_audio,passive,10516,4022,402.2,10,957.9699999999999,291.7099999999999
edf05,3,,free_viewing,,6066,4268,284.53333333333336,15,960.3533333333332,320.5133333333334
edf05,30,Punjabi,sentence_audio,passive,10527,4321,432.1,10,863.97,472.10999999999996
edf05,31,Punjabi,sentence_audio,passive_dropped_agent,10675,4141,318.53846153846155,13,881.1461538461538,291.4230769230769
edf05,32,Punjabi,sentence_audio,passive_dropped_agent,10789,4231,384.6363636363636,11,937.681818181818,431.51818181818186
edf05,33,Punjabi,sentence_audio,passive_dropped_agent,10504,4534,453.4,10,1002.5099999999999,353.84999999999997
edf05,34,English,sentence_audio,active,10511,4283,428.3,10,931.1000000000001,573.29
edf05,35,English,sentence_audio,active,10999,4119,316.84615384615387,13,990.5846153846154,583.1
edf05,36,English,sentence_audio,active,11043,4273,356.0833333333333,12,843.3000000000001,385.85833333333335
edf05,4,,free_viewing,,6061,4537,648.1428571428571,7,939.4714285714286,425.4571428571429
edf05,5,,free_viewing,,5775,4333,361.0833333333333,12,908.1833333333334,488.51666666666665
edf05,6,,free_viewing,,6006,4498,499.77777777777777,9,958.5,497.1555555555556
