participant_id,trial_id,TRIAL_INDEX,aoi_type,sentence,voice_id,image_id,stim_id,total_fixation_duration,mean_fixation_duration,median_fixation_duration,n_fixations,first_fixation_time,last_fixation_time,time_to_first_fixation
P45,P45_30,30,subject,exp_images/sentences/noagent_girl_window.jpg,PNA,IMG_02,STIM_92,1128,282.0,211.0,4,6786,10178,1599
P45,P45_31,31,object,exp_images/sentences/Dog-dug.jpg,ACT,IMG_13,STIM_13,1018,339.3333333333333,242.0,3,5572,8162,254
P45,P45_31,31,other,exp_images/sentences/Dog-dug.jpg,ACT,IMG_13,STIM_13,898,299.3333333333333,214.0,3,6408,8716,1090
P45,P45_31,31,subject,exp_images/sentences/Dog-dug.jpg,ACT,IMG_13,STIM_13,2771,554.2,301.0,5,5318,10311,0
P45,P45_32,32,object,exp_images/sentences/Veg.jpg,ACT,IMG_18,STIM_18,2976,297.6,271.0,10,5666,10438,220
P45,P45_32,32,other,exp_images/sentences/Veg.jpg,ACT,IMG_18,STIM_18,188,188.0,188.0,1,9822,10008,4376
P45,P45_32,32,subject,exp_images/sentences/Veg.jpg,ACT,IMG_18,STIM_18,1204,240.8,200.0,5,5446,9676,0
P45,P45_33,33,object,exp_images/sentences/Cake.jpg,ACT,IMG_15,STIM_15,2960,422.85714285714283,212.0,7,5976,10968,0
P45,P45_33,33,other,exp_images/sentences/Cake.jpg,ACT,IMG_15,STIM_15,198,198.0,198.0,1,10088,10284,4112
P45,P45_33,33,subject,exp_images/sentences/Cake.jpg,ACT,IMG_15,STIM_15,1316,263.2,174.0,5,7020,10790,1044
P45,P45_34,34,object,exp_images/sentences/Folded-clothes-passive.jpg,PWA,IMG_06,STIM_24,3088,308.8,231.0,10,6120,11112,0
P45,P45_34,34,other,exp_images/sentences/Folded-clothes-passive.jpg,PWA,IMG_06,STIM_24,52,52.0,52.0,1,9486,9536,3366
P45,P45_34,34,subject,exp_images/sentences/Folded-clothes-passive.jpg,PWA,IMG_06,STIM_24,1112,222.4,192.0,5,7070,8302,950
P45,P45_35,35,object,exp_images/sentences/Letter-passive.jpg,PWA,IMG_17,STIM_35,2058,257.25,225.0,8,5464,9458,221
P45,P45_35,35,other,exp_images/sentences/Letter-passive.jpg,PWA,IMG_17,STIM_35,587,293.5,293.5,2,5243,9908,0
P45,P45_35,35,subject,exp_images/sentences/Letter-passive.jpg,PWA,IMG_17,STIM_35,1792,597.3333333333334,676.0,3,6476,10236,1233
P45,P45_36,36,object,exp_images/sentences/Lamp-passive.jpg,PWA,IMG_01,STIM_19,1600,200.0,214.0,8,6130,10834,288
P45,P45_36,36,other,exp_images/sentences/Lamp-passive.jpg,PWA,IMG_01,STIM_19,348,116.0,154.0,3,5842,10268,0
P45,P45_36,36,subject,exp_images/sentences/Lamp-passive.jpg,PWA,IMG_01,STIM_19,2312,210.1818181818182,180.0,11,5884,10568,42
P45,P45_4,4,object,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,928,232.0,213.0,4,2838,4108,1764
P45,P45_4,4,other,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,826,275.3333333333333,234.0,3,1636,3866,562
P45,P45_4,4,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,2660,443.3333333333333,396.0,6,1074,6066,0
P45,P45_5,5,object,UNDEFINEDnull,UNDEFINEDnull,IMG_07,UNDEFINEDnull,2930,293.0,188.0,10,762,5716,0
P45,P45_5,5,other,UNDEFINEDnull,UNDEFINEDnull,IMG_07,UNDEFINEDnull,328,328.0,328.0,1,1964,2290,1202
P45,P45_5,5,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_07,UNDEFINEDnull,1188,237.6,156.0,5,2330,3654,1568
P45,P45_6,6,object,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,1482,164.66666666666666,146.0,9,1250,5848,322
P45,P45_6,6,other,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,1240,248.0,224.0,5,3712,5786,2784
P45,P45_6,6,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,1502,214.57142857142858,184.0,7,928,4840,0
P45,P45_7,7,object,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,956,318.6666666666667,344.0,3,1218,2922,273
P45,P45_7,7,other,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,802,401.0,401.0,2,3406,5852,2461
P45,P45_7,7,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,2666,242.36363636363637,228.0,11,945,5937,0
P45,P45_8,8,object,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,1134,226.8,214.0,5,1038,4740,0
P45,P45_8,8,other,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,2286,285.75,296.0,8,1650,6028,612
P45,P45_8,8,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,1010,252.5,219.0,4,2030,3112,992
P45,P45_9,9,object,UNDEFINEDnull,UNDEFINEDnull,IMG_15,UNDEFINEDnull,2352,336.0,266.0,7,922,5914,0
P45,P45_9,9,other,UNDEFINEDnull,UNDEFINEDnull,IMG_15,UNDEFINEDnull,346,346.0,346.0,1,3536,3880,2614
P45,P45_9,9,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_15,UNDEFINEDnull,1912,478.0,411.0,4,2110,5044,1188
edf01,edf01_1,1,object,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,2000,285.7142857142857,208.0,7,1366,6020,667
edf01,edf01_1,1,object,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,2290,254.44444444444446,236.0,9,1028,5690,329
edf01,edf01_1,1,other,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,914,304.6666666666667,186.0,3,1322,4812,623
edf01,edf01_1,1,subject,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,2582,430.3333333333333,359.0,6,1030,5540,331
