participant_id,trial_id,TRIAL_INDEX,sentence,voice_id,image_id,stim_id,mean_saccade_amplitude,mean_saccade_duration,mean_saccade_velocity,mean_peak_velocity,n_saccades
edf14,edf14_20,20,exp_images/sentences/Closed-door-passive.jpg,PWA,IMG_10,STIM_28,2.867857142857143,47.857142857142854,101.72785714285715,296.87357142857144,14
edf14,edf14_21,21,exp_images/sentences/Bucket-passive.jpg,PWA,IMG_09,STIM_27,1.7292857142857143,25.857142857142858,63.32785714285715,91.91642857142857,14
edf14,edf14_22,22,exp_images/sentences/Fed-dog-woa.jpg,PNA,IMG_16,STIM_52,2.789090909090909,53.45454545454545,90.3190909090909,307.76,11
edf14,edf14_23,23,exp_images/sentences/Washed-scooter-woa.jpg,PNA,IMG_14,STIM_50,3.0686666666666667,42.8,106.55199999999999,257.2733333333333,15
edf14,edf14_24,24,exp_images/sentences/Painting-woa.jpg,PNA,IMG_07,STIM_43,2.5933333333333333,37.38461538461539,95.3323076923077,239.48,13
edf14,edf14_25,25,exp_images/sentences/active_girl_sapling.jpg,ACT,IMG_03,STIM_57,2.9525,45.833333333333336,92.45916666666666,303.4741666666667,12
edf14,edf14_26,26,exp_images/sentences/active_child_frisbee.jpg,ACT,IMG_12,STIM_66,2.6236363636363635,29.09090909090909,80.5490909090909,124.06363636363636,11
edf14,edf14_27,27,exp_images/sentences/active_boy_vase.jpg,ACT,IMG_08,STIM_62,2.205263157894737,33.578947368421055,83.18473684210527,147.49157894736842,19
edf14,edf14_28,28,exp_images/sentences/passive_man_box.jpg,PWA,IMG_05,STIM_77,3.5319999999999996,43.86666666666667,106.884,226.222,15
edf14,edf14_29,29,exp_images/sentences/passive_man_shrub.jpg,PWA,IMG_04,STIM_76,2.8536363636363635,30.727272727272727,86.11636363636363,131.44636363636366,11
edf14,edf14_3,3,UNDEFINED,UNDEFINED,IMG_04,UNDEFINED,2.6641666666666666,31.0,82.79166666666667,122.09166666666665,12
edf14,edf14_30,30,exp_images/sentences/passive_girl_window.jpg,PWA,IMG_02,STIM_74,2.38,27.5,79.36333333333333,119.235,12
edf14,edf14_31,31,exp_images/sentences/noagent_dog_hole.jpg,PNA,IMG_13,STIM_103,2.7199999999999998,42.8,97.51866666666666,226.70133333333334,15
edf14,edf14_32,32,exp_images/sentences/noagent_boy_vegetables.jpg,PNA,IMG_18,STIM_108,2.683333333333333,51.55555555555556,84.8411111111111,146.2488888888889,9
edf14,edf14_33,33,exp_images/sentences/noagent_girl_cake.jpg,PNA,IMG_15,STIM_105,2.048,45.2,83.885,226.22899999999998,10
edf14,edf14_34,34,exp_images/sentences/Folded-clothes.jpg,ACT,IMG_06,STIM_06,2.176428571428571,51.285714285714285,94.93785714285715,326.15214285714285,14
edf14,edf14_35,35,exp_images/sentences/Letter.jpg,ACT,IMG_17,STIM_17,3.1766666666666663,34.333333333333336,88.62333333333333,138.5925,12
edf14,edf14_36,36,exp_images/sentences/Lamp.jpg,ACT,IMG_01,STIM_01,3.3677777777777775,39.666666666666664,90.41666666666667,161.04611111111112,18
edf14,edf14_4,4,UNDEFINED,UNDEFINED,IMG_07,UNDEFINED,2.712307692307692,43.23076923076923,106.7623076923077,244.0523076923077,13
edf14,edf14_5,5,UNDEFINED,UNDEFINED,IMG_15,UNDEFINED,1.93,26.76923076923077,68.21846153846154,96.16,13
