participant_id,trial_id,language,session_type,sentence_type,ia_label,trial_length_ms,dwell_time,entry_count,time_to_first_fixation,mean_time_to_first_fixation,dwell_time_normalized_by_trial_length
edf02,23,Punjabi,sentence_audio,passive_dropped_agent,o_lamp_girl_light_lamp,4478.0,3270,2,5308.0,5308.0,0.7302367128182224
edf02,23,Punjabi,sentence_audio,passive_dropped_agent,s_girl_girl_lit_lamp,4478.0,1208,1,8410.0,8410.0,0.26976328718177756
edf02,24,Punjabi,sentence_audio,passive_dropped_agent,o_scooter_driver_wash_scooter,4510.0,2726,2,5341.0,5341.0,0.6044345898004435
edf02,24,Punjabi,sentence_audio,passive_dropped_agent,s_driver_driver_wash_scooter,4510.0,1536,1,7108.0,7108.0,0.34057649667405765
edf02,25,English,sentence_audio,active,o_box_man_pushed_box,4618.0,1972,1,7900.0,7900.0,0.4270246860112603
edf02,25,English,sentence_audio,active,s_man_man_pushed_box,4618.0,2323,2,5363.0,5363.0,0.5030316154179298
edf02,26,English,sentence_audio,active,o_tree_girl_plant_tree,4224.0,2607,4,5552.0,5552.0,0.6171875
edf02,26,English,sentence_audio,active,s_girl_girl_plant_tree,4224.0,813,3,5345.0,5345.0,0.1924715909090909
edf02,27,English,sentence_audio,active,o_shrub_man_cut_shrub,4838.0,1842,1,6288.0,6288.0,0.38073584125671767
edf02,27,English,sentence_audio,active,s_man_man_cut_shrub,4838.0,2996,2,6097.0,6097.0,0.6192641587432823
edf02,28,English,sentence_audio,passive,o_hole_dog_dug_hole,4326.0,1069,2,5678.0,5678.0,0.24711049468331023
edf02,28,English,sentence_audio,passive,s_dog_dog_dug_hole,4326.0,2297,3,5171.0,5171.0,0.5309754969949144
edf02,29,English,sentence_audio,passive,o_frisbee_child_throw_frisbee,4132.0,336,1,6216.0,6216.0,0.08131655372700872
edf02,29,English,sentence_audio,passive,s_child_child_throw_frisbee,4132.0,2808,2,6772.0,6772.0,0.6795740561471443
edf02,3,,free_viewing,,o_window_girl_opened_window,4266.0,1620,2,1346.0,1346.0,0.379746835443038
edf02,3,,free_viewing,,s_girl_girl_opened_window,4266.0,2158,3,981.0,981.0,0.5058602906704173
edf02,30,English,sentence_audio,passive,o_tabla_child_play_tabla,4452.0,1224,1,6100.0,6100.0,0.2749326145552561
edf02,30,English,sentence_audio,passive,s_child_child_play_tabla,4452.0,2322,1,7998.0,7998.0,0.5215633423180593
