participant_id,trial_id,TRIAL_INDEX,sentence,voice_id,image_id,stim_id,total_trial_duration,mean_fixation_duration,total_trial_fixations,trial_start_time,trial_end_time,trial_duration
edf38,edf38_10,10,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,4435,443.5,10,850,5843,4993
edf38,edf38_11,11,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,4210,382.72727272727275,11,1100,6092,4992
edf38,edf38_12,12,UNDEFINEDnull,UNDEFINEDnull,IMG_07,UNDEFINEDnull,4517,282.3125,16,667,5630,4963
edf38,edf38_13,13,UNDEFINEDnull,UNDEFINEDnull,IMG_16,UNDEFINEDnull,4557,284.8125,16,963,5946,4983
edf38,edf38_14,14,UNDEFINEDnull,UNDEFINEDnull,IMG_02,UNDEFINEDnull,4576,381.3333333333333,12,902,5780,4878
edf38,edf38_15,15,UNDEFINEDnull,UNDEFINEDnull,IMG_11,UNDEFINEDnull,4615,329.64285714285717,14,838,5831,4993
edf38,edf38_16,16,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,4495,299.6666666666667,15,909,5902,4993
edf38,edf38_17,17,UNDEFINEDnull,UNDEFINEDnull,IMG_17,UNDEFINEDnull,4697,469.7,10,1140,6133,4993
edf38,edf38_18,18,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,4656,358.15384615384613,13,1060,6052,4992
edf38,edf38_19,19,exp_images/sentences/Tabla-passive.jpg,PWA,IMG_11,STIM_29,4541,267.11764705882354,17,5452,10445,4993
edf38,edf38_2,2,UNDEFINEDnull,UNDEFINEDnull,IMG_14,UNDEFINEDnull,4462,234.8421052631579,19,727,5719,4992
edf38,edf38_20,20,exp_images/sentences/Closed-door-passive.jpg,PWA,IMG_10,STIM_28,4663,666.1428571428571,7,5639,10462,4823
edf38,edf38_21,21,exp_images/sentences/Bucket-passive.jpg,PWA,IMG_09,STIM_27,4412,259.52941176470586,17,5584,10448,4864
edf38,edf38_22,22,exp_images/sentences/Fed-dog-woa.jpg,PNA,IMG_16,STIM_52,4692,360.9230769230769,13,5850,10842,4992
edf38,edf38_23,23,exp_images/sentences/Washed-scooter-woa.jpg,PNA,IMG_14,STIM_50,4299,268.6875,16,5719,10678,4959
edf38,edf38_24,24,exp_images/sentences/Painting-woa.jpg,PNA,IMG_07,STIM_43,4497,299.8,15,5406,10399,4993
edf38,edf38_25,25,exp_images/sentences/active_girl_sapling.jpg,ACT,IMG_03,STIM_57,4340,255.2941176470588,17,5956,10948,4992
edf38,edf38_26,26,exp_images/sentences/active_child_frisbee.jpg,ACT,IMG_12,STIM_66,4295,238.61111111111111,18,5985,10978,4993
edf38,edf38_27,27,exp_images/sentences/active_boy_vase.jpg,ACT,IMG_08,STIM_62,4402,400.1818181818182,11,6010,10972,4962
edf38,edf38_28,28,exp_images/sentences/passive_man_box.jpg,PWA,IMG_05,STIM_77,4229,352.4166666666667,12,5324,10317,4993
edf38,edf38_29,29,exp_images/sentences/passive_man_shrub.jpg,PWA,IMG_04,STIM_76,4442,317.2857142857143,14,5580,10572,4992
edf38,edf38_3,3,UNDEFINEDnull,UNDEFINEDnull,IMG_13,UNDEFINEDnull,4473,319.5,14,992,5985,4993
edf38,edf38_30,30,exp_images/sentences/passive_girl_window.jpg,PWA,IMG_02,STIM_74,4500,409.09090909090907,11,5421,10413,4992
edf38,edf38_31,31,exp_images/sentences/noagent_dog_hole.jpg,PNA,IMG_13,STIM_103,4647,331.92857142857144,14,5335,10308,4973
edf38,edf38_32,32,exp_images/sentences/noagent_boy_vegetables.jpg,PNA,IMG_18,STIM_108,4609,384.0833333333333,12,5426,10419,4993
edf38,edf38_33,33,exp_images/sentences/noagent_girl_cake.jpg,PNA,IMG_15,STIM_105,4399,274.9375,16,5334,10327,4993
edf38,edf38_34,34,exp_images/sentences/Folded-clothes.jpg,ACT,IMG_06,STIM_06,4516,282.25,16,6182,11104,4922
edf38,edf38_35,35,exp_images/sentences/Letter.jpg,ACT,IMG_17,STIM_17,4510,322.14285714285717,14,5216,10208,4992
edf38,edf38_36,36,exp_images/sentences/Lamp.jpg,ACT,IMG_01,STIM_01,4326,288.4,15,5498,10446,4948
edf38,edf38_4,4,UNDEFINEDnull,UNDEFINEDnull,IMG_09,UNDEFINEDnull,4573,269.0,17,677,5670,4993
edf38,edf38_5,5,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,4674,389.5,12,734,5726,4992
edf38,edf38_6,6,UNDEFINEDnull,UNDEFINEDnull,IMG_04,UNDEFINEDnull,4364,256.70588235294116,17,891,5883,4992
edf38,edf38_7,7,UNDEFINEDnull,UNDEFINEDnull,IMG_15,UNDEFINEDnull,4754,475.4,10,977,5969,4992
edf38,edf38_8,8,UNDEFINEDnull,UNDEFINEDnull,IMG_12,UNDEFINEDnull,4515,347.3076923076923,13,1112,6105,4993
edf38,edf38_9,9,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,4601,287.5625,16,914,5907,4993
edf39,edf39_1,1,UNDEFINEDnull,UNDEFINEDnull,IMG_10,UNDEFINEDnull,4653,332.35714285714283,14,1146,6137,4991
edf39,edf39_10,10,UNDEFINEDnull,UNDEFINEDnull,IMG_17,UNDEFINEDnull,4752,528.0,9,843,5835,4992
edf39,edf39_11,11,UNDEFINEDnull,UNDEFINEDnull,IMG_05,UNDEFINEDnull,4318,308.42857142857144,14,1071,6063,4992
edf39,edf39_12,12,UNDEFINEDnull,UNDEFINEDnull,IMG_12,UNDEFINEDnull,4341,310.07142857142856,14,995,5988,4993
edf39,edf39_13,13,UNDEFINEDnull,UNDEFINEDnull,IMG_06,UNDEFINEDnull,4362,335.53846153846155,13,1030,5934,4904
edf39,edf39_14,14,UNDEFINEDnull,UNDEFINEDnull,IMG_14,UNDEFINEDnull,4396,439.6,10,1007,5999,4992
edf39,edf39_15,15,UNDEFINEDnull,UNDEFINEDnull,IMG_03,UNDEFINEDnull,4559,379.9166666666667,12,1059,6052,4993
edf39,edf39_16,16,UNDEFINEDnull,UNDEFINEDnull,IMG_04,UNDEFINEDnull,4669,466.9,10,775,5738,4963
edf39,edf39_17,17,UNDEFINEDnull,UNDEFINEDnull,IMG_08,UNDEFINEDnull,4587,509.6666666666667,9,700,5693,4993
edf39,edf39_18,18,UNDEFINEDnull,UNDEFINEDnull,IMG_01,UNDEFINEDnull,4075,271.6666666666667,15,911,5894,4983
edf39,edf39_19,19,exp_images/sentences/Tabla-woa.jpg,PNA,IMG_11,STIM_47,4406,293.73333333333335,15,5633,10623,4990
edf39,edf39_2,2,UNDEFINEDnull,UNDEFINEDnull,IMG_18,UNDEFINEDnull,4358,363.1666666666667,12,865,5857,4992
edf39,edf39_20,20,exp_images/sentences/Closed-door-woa.jpg,PNA,IMG_10,STIM_46,4553,350.2307692307692,13,5334,10327,4993
edf39,edf39_21,21,exp_images/sentences/Bucket-woa.jpg,PNA,IMG_09,STIM_45,4527,323.35714285714283,14,5181,10136,4955
edf39,edf39_22,22,exp_images/sentences/active_girl_dog.jpg,ACT,IMG_16,STIM_70,4303,268.9375,16,5258,10251,4993
edf39,edf39_23,23,exp_images/sentences/active_driver_scooter.jpg,ACT,IMG_14,STIM_68,4389,337.61538461538464,13,5680,10673,4993
edf39,edf39_24,24,exp_images/sentences/active_artist_picture.jpg,ACT,IMG_07,STIM_61,4271,284.73333333333335,15,5810,10803,4993
edf39,edf39_25,25,exp_images/sentences/passive_girl_sapling.jpg,PWA,IMG_03,STIM_75,4030,268.6666666666667,15,5249,10241,4992
edf39,edf39_26,26,exp_images/sentences/passive_child_frisbee.jpg,PWA,IMG_12,STIM_84,4394,292.93333333333334,15,5343,10335,4992
