participant_id,trial_id,language,session_type,sentence_type,trial_length_ms,total_interest_area_dwell_time,total_interest_area_entry_count,min_time_to_first_fixation,interest_area_dwell_time_normalized
edf49,27,Punjabi,sentence_audio,passive_dropped_agent,4132.0,4132,6,6122.0,1.0
edf49,28,English,sentence_audio,active,4104.0,2292,7,5961.0,0.5584795321637427
edf49,29,English,sentence_audio,active,4280.0,3890,10,6052.0,0.9088785046728972
edf49,3,,free_viewing,,4350.0,4350,9,942.0,1.0
edf49,30,English,sentence_audio,active,4131.0,3036,6,5492.0,0.7349310094408134
edf49,31,English,sentence_audio,passive,4432.0,4174,8,6120.0,0.9417870036101083
edf49,32,English,sentence_audio,passive,4754.0,4502,5,6004.0,0.9469920067311738
edf49,33,English,sentence_audio,passive,4095.0,3591,7,5683.0,0.8769230769230769
edf49,34,English,sentence_audio,passive_dropped_agent,4325.0,2251,6,5930.0,0.5204624277456648
edf49,35,English,sentence_audio,passive_dropped_agent,4427.0,4275,4,5917.0,0.9656652360515021
edf49,36,English,sentence_audio,passive_dropped_agent,4459.0,4459,9,6005.0,1.0
edf49,4,,free_viewing,,4465.0,4197,11,1145.0,0.9399776035834266
edf49,5,,free_viewing,,4389.0,4047,6,943.0,0.922077922077922
edf49,6,,free_viewing,,4664.0,3392,4,1490.0,0.7272727272727273
edf49,7,,free_viewing,,4265.0,2660,7,1462.0,0.6236811254396248
edf49,8,,free_viewing,,4330.0,2956,8,1098.0,0.6826789838337183
edf49,9,,free_viewing,,4456.0,4456,6,895.0,1.0
edf50,1,,free_viewing,,4084.0,1360,4,910.0,0.3330068560235064
edf50,10,,free_viewing,,3946.0,3876,5,872.0,0.9822605169792195
edf50,11,,free_viewing,,4302.0,4302,3,944.0,1.0
edf50,12,,free_viewing,,4754.0,4409,1,1302.0,0.9274295330248212
edf50,13,,free_viewing,,3582.0,3582,6,1086.0,1.0
edf50,14,,free_viewing,,3875.0,2873,6,783.0,0.7414193548387097
edf50,15,,free_viewing,,3817.0,2422,3,2076.0,0.6345297353942887
edf50,16,,free_viewing,,4274.0,3240,3,882.0,0.7580720636406177
edf50,17,,free_viewing,,4294.0,3651,3,1394.0,0.8502561714019562
edf50,18,,free_viewing,,4038.0,3800,3,1030.0,0.9410599306587419
edf50,19,Punjabi,sentence_audio,passive,2932.0,2632,6,5410.0,0.897680763983629
edf50,2,,free_viewing,,3805.0,2537,7,1158.0,0.666754270696452
edf50,20,Punjabi,sentence_audio,passive,3794.0,3462,6,6116.0,0.9124934106483922
edf50,21,Punjabi,sentence_audio,passive,3513.0,3144,5,6610.0,0.8949615713065756
edf50,22,Punjabi,sentence_audio,passive_dropped_agent,4411.0,4411,4,6159.0,1.0
edf50,23,Punjabi,sentence_audio,passive_dropped_agent,3308.0,1760,6,6278.0,0.532043530834341
edf50,24,Punjabi,sentence_audio,passive_dropped_agent,3774.0,3774,2,6182.0,1.0
edf50,25,English,sentence_audio,active,3257.0,2013,7,5928.0,0.618053423395763
edf50,26,English,sentence_audio,active,3967.0,3499,2,5194.0,0.8820267204436602
edf50,27,English,sentence_audio,active,3358.0,3358,4,5734.0,1.0
edf50,28,English,sentence_audio,passive,3959.0,2873,4,5398.0,0.7256883051275574
edf50,29,English,sentence_audio,passive,2887.0,1502,6,5936.0,0.5202632490474541
edf50,3,,free_viewing,,4966.0,4966,1,703.0,1.0
edf50,30,English,sentence_audio,passive,4406.0,4026,4,5918.0,0.9137539718565593
edf50,31,English,sentence_audio,passive_dropped_agent,4063.0,3801,4,6132.0,0.9355156288456805
edf50,32,English,sentence_audio,passive_dropped_agent,3073.0,2591,4,5469.0,0.8431500162707452
edf50,33,English,sentence_audio,passive_dropped_agent,3772.0,3642,4,5852.0,0.9655355249204666
edf50,34,Punjabi,sentence_audio,active,3559.0,1362,4,5832.0,0.3826917673503793
edf50,35,Punjabi,sentence_audio,active,3671.0,2701,2,6534.0,0.7357668210296922
edf50,36,Punjabi,sentence_audio,active,3998.0,3998,3,6036.0,1.0
edf50,4,,free_viewing,,3546.0,3546,5,994.0,1.0
edf50,5,,free_viewing,,3915.0,3057,4,1048.0,0.7808429118773946
edf50,6,,free_viewing,,4072.0,3919,2,909.0,0.962426326129666
edf50,7,,free_viewing,,4089.0,1663,4,835.0,0.40670090486671556
edf50,8,,free_viewing,,4792.0,4792,1,1119.0,1.0
edf50,9,,free_viewing,,3286.0,2576,3,1384.0,0.7839318320146075
