participant_id,trial_id,language,session_type,sentence_type,ia_label,trial_length_ms,dwell_time,entry_count,time_to_first_fixation,mean_time_to_first_fixation,dwell_time_normalized_by_trial_length,audio,exp_id,image,image_id,sentence,stim_id,stimulus_file,voice_id,grammatical_voice,agent_first_alignment,agent_overt,passive_cost_contrast,dropped_agent_contrast,aoi_role
edf23,24,English,sentence_audio,passive_dropped_agent,o_picture_artiste_drew_picture,4627.0,1299,3,5515.0,5515.0,0.2807434622865788,exp_images/audio\ENGLISH\p_woa_draw.wav,IMG_07_E_PNA,exp_images/images/artiste_drew_picture.jpg,IMG_07,exp_images/sentences/noagent_artist_picture.jpg,STIM_97,stimuli_list_subj_11_b.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0,object
edf23,24,English,sentence_audio,passive_dropped_agent,s_artiste_artiste_drew_picture,4627.0,1262,2,6130.0,6130.0,0.2727469202507024,exp_images/audio\ENGLISH\p_woa_draw.wav,IMG_07_E_PNA,exp_images/images/artiste_drew_picture.jpg,IMG_07,exp_images/sentences/noagent_artist_picture.jpg,STIM_97,stimuli_list_subj_11_b.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0,agent
edf23,25,Punjabi,sentence_audio,active,o_tree_girl_plant_tree,4431.0,2902,5,6024.0,6024.0,0.6549311667795079,exp_images/audio\PUNJABI\sapling.wav,IMG_03_P_ACT,exp_images/images/girl_plant_tree.jpg,IMG_03,exp_images/sentences/Sapling.jpg,STIM_03,stimuli_list_subj_11_b.csv,ACT,active,agent_first,agent_overt,0.0,,object
edf23,25,Punjabi,sentence_audio,active,s_girl_girl_plant_tree,4431.0,1529,5,5719.0,5719.0,0.34506883322049203,exp_images/audio\PUNJABI\sapling.wav,IMG_03_P_ACT,exp_images/images/girl_plant_tree.jpg,IMG_03,exp_images/sentences/Sapling.jpg,STIM_03,stimuli_list_subj_11_b.csv,ACT,active,agent_first,agent_overt,0.0,,agent
edf23,26,Punjabi,sentence_audio,active,o_frisbee_child_throw_frisbee,3922.0,420,1,7040.0,7040.0,0.10708822029576746,exp_images/audio\PUNJABI\frisbee.wav,IMG_12_P_ACT,exp_images/images/child_throw_frisbee.jpg,IMG_12,exp_images/sentences/Frisbee.jpg,STIM_12,stimuli_list_subj_11_b.csv,ACT,active,agent_first,agent_overt,0.0,,object
edf23,26,Punjabi,sentence_audio,active,s_child_child_throw_frisbee,3922.0,1554,3,6086.0,6086.0,0.3962264150943397,exp_images/audio\PUNJABI\frisbee.wav,IMG_12_P_ACT,exp_images/images/child_throw_frisbee.jpg,IMG_12,exp_images/sentences/Frisbee.jpg,STIM_12,stimuli_list_subj_11_b.csv,ACT,active,agent_first,agent_overt,0.0,,agent
edf23,27,Punjabi,sentence_audio,active,o_vase_boy_broke_vase,4315.0,1875,4,5275.0,5275.0,0.4345307068366164,exp_images/audio\PUNJABI\vase.wav,IMG_08_P_ACT,exp_images/images/boy_broke_vase.jpg,IMG_08,exp_images/sentences/Vase.jpg,STIM_08,stimuli_list_subj_11_b.csv,ACT,active,agent_first,agent_overt,0.0,,object
edf23,27,Punjabi,sentence_audio,active,s_boy_boy_broke_vase,4315.0,2068,3,5750.0,5750.0,0.4792584009269989,exp_images/audio\PUNJABI\vase.wav,IMG_08_P_ACT,exp_images/images/boy_broke_vase.jpg,IMG_08,exp_images/sentences/Vase.jpg,STIM_08,stimuli_list_subj_11_b.csv,ACT,active,agent_first,agent_overt,0.0,,agent
edf23,28,Punjabi,sentence_audio,passive,o_box_man_pushed_box,4007.0,1769,3,5409.0,5409.0,0.441477414524582,exp_images/audio\PUNJABI\p_box.wav,IMG_05_P_PWA,exp_images/images/man_pushed_box.jpg,IMG_05,exp_images/sentences/Pushed-box-passive.jpg,STIM_23,stimuli_list_subj_11_b.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0,object
edf23,28,Punjabi,sentence_audio,passive,s_man_man_pushed_box,4007.0,1506,4,5716.0,5716.0,0.3758422760169703,exp_images/audio\PUNJABI\p_box.wav,IMG_05_P_PWA,exp_images/images/man_pushed_box.jpg,IMG_05,exp_images/sentences/Pushed-box-passive.jpg,STIM_23,stimuli_list_subj_11_b.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0,agent
edf23,29,Punjabi,sentence_audio,passive,o_shrub_man_cut_shrub,3963.0,1959,4,5588.0,5588.0,0.4943224829674489,exp_images/audio\PUNJABI\p_shrub.wav,IMG_04_P_PWA,exp_images/images/man_cut_shrub.jpg,IMG_04,exp_images/sentences/Shrub-passive.jpg,STIM_22,stimuli_list_subj_11_b.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0,object
edf23,29,Punjabi,sentence_audio,passive,s_man_man_cut_shrub,3963.0,1112,4,5334.0,5334.0,0.28059550845319203,exp_images/audio\PUNJABI\p_shrub.wav,IMG_04_P_PWA,exp_images/images/man_cut_shrub.jpg,IMG_04,exp_images/sentences/Shrub-passive.jpg,STIM_22,stimuli_list_subj_11_b.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0,agent
edf23,3,,free_viewing,,o_vase_boy_broke_vase,4691.0,1463,3,1047.0,1047.0,0.3118738008953315,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_broke_vase.jpg,IMG_08,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,object
edf23,3,,free_viewing,,s_boy_boy_broke_vase,4691.0,2876,3,1298.0,1298.0,0.6130888936260925,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_broke_vase.jpg,IMG_08,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,,agent
edf23,30,Punjabi,sentence_audio,passive,o_window_girl_opened_window,4458.0,534,1,6704.0,6704.0,0.11978465679676985,exp_images/audio\PUNJABI\p_window.wav,IMG_02_P_PWA,exp_images/images/girl_opened_window.jpg,IMG_02,exp_images/sentences/Window-passive.jpg,STIM_20,stimuli_list_subj_11_b.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0,object
edf23,30,Punjabi,sentence_audio,passive,s_girl_girl_opened_window,4458.0,3786,3,6109.0,6109.0,0.8492597577388964,exp_images/audio\PUNJABI\p_window.wav,IMG_02_P_PWA,exp_images/images/girl_opened_window.jpg,IMG_02,exp_images/sentences/Window-passive.jpg,STIM_20,stimuli_list_subj_11_b.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0,agent
