participant_id,trial_id,language,session_type,sentence_type,fixation_trial_length_ms,fixation_total_fixation_duration,fixation_mean_fixation_duration,fixation_fixation_count,fixation_mean_fixation_x,fixation_mean_fixation_y,interest_area_trial_length_ms,interest_area_total_interest_area_dwell_time,interest_area_total_interest_area_entry_count,interest_area_min_time_to_first_fixation,interest_area_interest_area_dwell_time_normalized,saccade_trial_length_ms,saccade_mean_saccade_amplitude,saccade_saccade_count,saccade_mean_saccade_velocity,saccade_mean_saccade_duration,saccade_saccade_rate,audio,exp_id,image,image_id,sentence,stim_id,stimulus_file,voice_id,grammatical_voice,agent_first_alignment,agent_overt,passive_cost_contrast,dropped_agent_contrast
edf01,30,English,sentence_audio,active,10254.0,4362.0,436.2,10.0,883.3800000000001,469.66,4578.0,4158,3,5514.0,0.908256880733945,10254.0,3.338,10.0,132.02000000000004,41.4,0.9752291788570314,exp_images/audio\ENGLISH\tabla.wav,IMG_11_E_ACT,exp_images/images/child_play_tabla.jpg,IMG_11,exp_images/sentences/active_child_tabla.jpg,STIM_65,stimuli_list_subj_1_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf01,31,English,sentence_audio,passive,10196.0,4460.0,446.0,10.0,1005.71,321.69,4711.0,4711,3,5203.0,1.0,10196.0,2.281,10.0,72.544,28.2,0.9807767752059632,exp_images/audio\ENGLISH\p_artist.wav,IMG_07_E_PWA,exp_images/images/artiste_drew_picture.jpg,IMG_07,exp_images/sentences/passive_artist_picture.jpg,STIM_79,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf01,32,English,sentence_audio,passive,10912.0,4486.0,747.6666666666665,6.0,971.6,636.0333333333333,4784.0,4692,1,5920.0,0.9807692307692308,10912.0,1.18,6.0,68.71666666666665,34.666666666666664,0.5498533724340176,exp_images/audio\ENGLISH\p_cake.wav,IMG_15_E_PWA,exp_images/images/girl_baked_cake.jpg,IMG_15,exp_images/sentences/passive_girl_cake.jpg,STIM_87,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf01,33,English,sentence_audio,passive,10400.0,4422.0,442.2,10.0,1095.98,499.54,4653.0,4422,5,5674.0,0.950354609929078,10400.0,3.528,10.0,94.479,34.0,0.9615384615384616,exp_images/audio\ENGLISH\p_window.wav,IMG_02_E_PWA,exp_images/images/girl_opened_window.jpg,IMG_02,exp_images/sentences/passive_girl_window.jpg,STIM_74,stimuli_list_subj_1_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf01,34,English,sentence_audio,passive_dropped_agent,10936.0,4620.0,924.0,5.0,915.82,621.76,4800.0,3500,3,5944.0,0.7291666666666666,10936.0,2.5580000000000003,5.0,80.208,38.4,0.457205559619605,exp_images/audio\ENGLISH\p_woa_fed.wav,IMG_16_E_PNA,exp_images/images/girl_fed_dog.jpg,IMG_16,exp_images/sentences/noagent_girl_dog.jpg,STIM_106,stimuli_list_subj_1_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf01,35,English,sentence_audio,passive_dropped_agent,10851.0,4336.0,361.33333333333326,12.0,1063.8083333333334,603.8333333333334,4514.0,3680,4,6074.0,0.8152414709791759,10851.0,4.505384615384615,13.0,99.97384615384615,38.153846153846146,1.1980462630172333,exp_images/audio\ENGLISH\p_woa_veg.wav,IMG_18_E_PNA,exp_images/images/boy_cut_vegetables.jpg,IMG_18,exp_images/sentences/noagent_boy_vegetables.jpg,STIM_108,stimuli_list_subj_1_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf01,36,English,sentence_audio,passive_dropped_agent,10826.0,3818.0,763.6,5.0,973.06,506.94000000000005,3836.0,3836,1,5834.0,1.0,10826.0,2.7960000000000003,5.0,240.42,231.2,0.4618510992056161,exp_images/audio\ENGLISH\p_woa_vase.wav,IMG_08_E_PNA,exp_images/images/boy_broke_vase.jpg,IMG_08,exp_images/sentences/noagent_boy_vase.jpg,STIM_98,stimuli_list_subj_1_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf01,4,,free_viewing,,5654.0,4344.0,334.15384615384613,13.0,1026.6076923076923,460.5846153846154,4585.0,3884,3,928.0,0.8471101417666304,5654.0,2.927692307692308,13.0,83.85384615384616,31.384615384615387,2.2992571630703926,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/child_throw_frisbee.jpg,IMG_12,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,5,,free_viewing,,5837.0,4203.0,280.2,15.0,1041.7066666666665,532.3533333333332,4540.0,4540,3,845.0,1.0,5837.0,2.936666666666666,15.0,85.16933333333334,30.13333333333333,2.5698132602364234,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/driver_wash_scooter.jpg,IMG_14,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,6,,free_viewing,,5800.0,4352.0,435.2,10.0,859.18,482.87,4725.0,3653,2,807.0,0.7731216931216931,5800.0,1.985,10.0,66.613,26.8,1.7241379310344829,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_baked_cake.jpg,IMG_15,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,7,,free_viewing,,5816.0,4206.0,350.5,12.0,934.5833333333335,579.8083333333333,4495.0,4495,3,823.0,1.0,5816.0,2.431666666666666,12.0,116.9,41.5,2.0632737276478683,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/women_fold_clothes.jpg,IMG_06,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,8,,free_viewing,,5942.0,4304.0,307.42857142857144,14.0,1026.3,583.6071428571429,4574.0,4304,4,1252.0,0.9409707039790118,5942.0,2.7464285714285714,14.0,84.01000000000002,29.857142857142854,2.3561090541905085,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_opened_window.jpg,IMG_02,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf01,9,,free_viewing,,5883.0,4445.0,444.5,10.0,807.0199999999999,614.1899999999998,4698.0,4445,3,1176.0,0.9461472967220094,5883.0,2.502,10.0,73.57,29.4,1.6998130205677375,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/child_play_tabla.jpg,IMG_11,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,1,,free_viewing,,5693.0,4230.0,282.0,15.0,923.5666666666664,713.5800000000003,4511.0,3597,6,699.0,0.7973841720239415,5693.0,2.9526666666666666,15.0,79.01,32.13333333333333,2.6348146847005096,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_cut_vegetables.jpg,IMG_18,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,10,,free_viewing,,5962.0,4192.0,698.6666666666665,6.0,916.1833333333334,403.89999999999986,4492.0,4492,4,970.0,1.0,5962.0,3.731666666666667,6.0,246.6733333333333,83.33333333333333,1.0063737001006374,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/man_pushed_box.jpg,IMG_05,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,11,,free_viewing,,6045.0,2915.0,182.1875,16.0,936.15625,488.375,4198.0,4050,3,1053.0,0.9647451167222488,6045.0,1.2749999999999997,16.0,102.88375,49.625,2.6468155500413566,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/women_read_letter.jpg,IMG_17,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,12,,free_viewing,,5674.0,4104.0,228.0,18.0,892.7055555555555,602.9777777777776,4204.0,3742,5,1076.0,0.8901046622264509,5674.0,3.2221052631578933,19.0,84.63315789473684,47.05263157894736,3.3486076841734222,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/driver_wash_scooter.jpg,IMG_14,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,13,,free_viewing,,6091.0,4314.0,359.5,12.0,878.2750000000002,449.3666666666666,4565.0,4565,3,1099.0,1.0,6091.0,1.2338461538461536,13.0,71.05461538461539,34.30769230769231,2.134296503037268,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/boy_broke_vase.jpg,IMG_08,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,14,,free_viewing,,6086.0,4170.0,297.85714285714283,14.0,917.0285714285716,426.6928571428571,4399.0,4399,3,1095.0,1.0,6086.0,2.324,15.0,113.55,40.8,2.4646730200460065,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_lighted_lamp.jpg,IMG_01,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,15,,free_viewing,,5676.0,3994.0,234.94117647058826,17.0,875.0882352941177,706.4411764705882,4204.0,2544,6,812.0,0.6051379638439581,5676.0,3.0322222222222215,18.0,94.86722222222221,47.22222222222222,3.171247357293869,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/dog_dug_hole.jpg,IMG_13,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,16,,free_viewing,,6021.0,4097.0,215.63157894736838,19.0,812.8210526315789,422.0631578947368,4247.0,4055,8,1028.0,0.9547916176124324,6021.0,2.5136842105263155,19.0,110.07263157894737,39.26315789473684,3.155621989702708,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/artiste_drew_picture.jpg,IMG_07,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,17,,free_viewing,,6043.0,4072.0,226.22222222222226,18.0,863.161111111111,479.4055555555555,4282.0,3480,5,1050.0,0.812704343764596,6043.0,2.0521052631578947,19.0,79.03631578947366,38.31578947368421,3.144133708422969,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_plant_tree.jpg,IMG_03,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,18,,free_viewing,,5859.0,4145.0,592.1428571428571,7.0,933.2571428571428,683.9857142857143,4403.0,4145,3,1172.0,0.941403588462412,5859.0,2.152857142857143,7.0,214.34857142857143,84.0,1.1947431302270013,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/girl_fed_dog.jpg,IMG_16,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,19,Punjabi,sentence_audio,passive,11187.0,4148.0,460.88888888888886,9.0,961.6111111111113,474.52222222222224,4406.0,4406,3,6194.0,1.0,11187.0,1.5659999999999998,10.0,141.452,59.8,0.8938946992044338,exp_images/audio\PUNJABI\p_letter.wav,IMG_17_P_PWA,exp_images/images/women_read_letter.jpg,IMG_17,exp_images/sentences/Letter-passive.jpg,STIM_35,stimuli_list_subj_2_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf02,2,,free_viewing,,5790.0,4120.0,274.6666666666667,15.0,931.0666666666667,564.4399999999998,4405.0,4120,3,1110.0,0.9353007945516458,5790.0,1.586,15.0,77.92533333333333,39.06666666666667,2.5906735751295336,UNDEFINEDnull,UNDEFINEDnull,exp_images/images/women_fold_clothes.jpg,IMG_06,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,UNDEFINEDnull,,,,,
edf02,20,Punjabi,sentence_audio,passive,10494.0,4150.0,377.27272727272725,11.0,945.981818181818,460.5,4326.0,4326,5,5502.0,1.0,10494.0,1.3645454545454545,11.0,151.22545454545454,60.54545454545455,1.0482180293501049,exp_images/audio\PUNJABI\p_bucket.wav,IMG_09_P_PWA,exp_images/images/boy_filled_bucket.jpg,IMG_09,exp_images/sentences/Bucket-passive.jpg,STIM_27,stimuli_list_subj_2_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf02,21,Punjabi,sentence_audio,passive,10559.0,4025.0,365.9090909090909,11.0,900.0818181818181,516.8636363636364,4375.0,4041,4,5566.0,0.9236571428571428,10559.0,1.2254545454545456,11.0,89.3009090909091,56.18181818181818,1.0417653186854816,exp_images/audio\PUNJABI\p_clothes.wav,IMG_06_P_PWA,exp_images/images/women_fold_clothes.jpg,IMG_06,exp_images/sentences/Folded-clothes-passive.jpg,STIM_24,stimuli_list_subj_2_a.csv,PWA,passive_with_agent,non_agent_first,agent_overt,1.0,0.0
edf02,22,Punjabi,sentence_audio,passive_dropped_agent,10403.0,4313.0,431.3,10.0,860.1599999999999,514.5699999999998,4538.0,4398,4,5411.0,0.9691494050242396,10403.0,2.0780000000000003,10.0,119.306,45.4,0.9612611746611552,exp_images/audio\PUNJABI\p_woa_door.wav,IMG_10_P_PNA,exp_images/images/boy_opened_door.jpg,IMG_10,exp_images/sentences/Closed-door-woa.jpg,STIM_46,stimuli_list_subj_2_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf02,23,Punjabi,sentence_audio,passive_dropped_agent,10300.0,4308.0,538.5,8.0,762.5749999999998,461.525,4478.0,4478,3,5308.0,1.0,10300.0,1.9962500000000003,8.0,104.68,64.25,0.7766990291262136,exp_images/audio\PUNJABI\p_woa_lamp.wav,IMG_01_P_PNA,exp_images/images/girl_lighted_lamp.jpg,IMG_01,exp_images/sentences/Lamp-woa.jpg,STIM_37,stimuli_list_subj_2_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf02,24,Punjabi,sentence_audio,passive_dropped_agent,10333.0,4271.0,251.2352941176471,17.0,903.3823529411766,519.7117647058824,4510.0,4262,3,5341.0,0.9450110864745012,10333.0,1.842941176470588,17.0,59.95705882352941,28.35294117647059,1.645214361753605,exp_images/audio\PUNJABI\p_woa_scooter.wav,IMG_14_P_PNA,exp_images/images/driver_wash_scooter.jpg,IMG_14,exp_images/sentences/Washed-scooter-woa.jpg,STIM_50,stimuli_list_subj_2_a.csv,PNA,passive_dropped_agent,non_agent_first,agent_dropped,1.0,1.0
edf02,25,English,sentence_audio,active,10355.0,4389.0,877.8,5.0,1022.5,369.25999999999993,4618.0,4295,3,5363.0,0.9300563014291902,10355.0,1.2819999999999998,5.0,149.064,74.8,0.4828585224529213,exp_images/audio\ENGLISH\box.wav,IMG_05_E_ACT,exp_images/images/man_pushed_box.jpg,IMG_05,exp_images/sentences/active_man_box.jpg,STIM_59,stimuli_list_subj_2_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf02,26,English,sentence_audio,active,10337.0,4059.0,225.5,18.0,815.3666666666667,603.8833333333333,4224.0,3420,7,5345.0,0.8096590909090909,10337.0,3.543333333333333,18.0,110.43444444444445,42.66666666666666,1.7413175969817165,exp_images/audio\ENGLISH\sapling.wav,IMG_03_E_ACT,exp_images/images/girl_plant_tree.jpg,IMG_03,exp_images/sentences/active_girl_sapling.jpg,STIM_57,stimuli_list_subj_2_a.csv,ACT,active,agent_first,agent_overt,0.0,
edf02,27,English,sentence_audio,active,11091.0,4663.0,666.1428571428571,7.0,890.6142857142858,534.2857142857143,4838.0,4838,3,6097.0,1.0,11091.0,1.2028571428571426,7.0,53.798571428571435,22.285714285714285,0.6311423676855108,exp_images/audio\ENGLISH\shrub.wav,IMG_04_E_ACT,exp_images/images/man_cut_shrub.jpg,IMG_04,exp_images/sentences/active_man_shrub.jpg,STIM_58,stimuli_list_subj_2_a.csv,ACT,active,agent_first,agent_overt,0.0,
