participant_id,image_id,baseline_fixation_trial_length_ms,baseline_fixation_total_fixation_duration,baseline_fixation_mean_fixation_duration,baseline_fixation_fixation_count,baseline_fixation_mean_fixation_x,baseline_fixation_mean_fixation_y,baseline_interest_area_trial_length_ms,baseline_interest_area_total_interest_area_dwell_time,baseline_interest_area_total_interest_area_entry_count,baseline_interest_area_min_time_to_first_fixation,baseline_interest_area_interest_area_dwell_time_normalized,baseline_saccade_trial_length_ms,baseline_saccade_mean_saccade_amplitude,baseline_saccade_saccade_count,baseline_saccade_mean_saccade_velocity,baseline_saccade_mean_saccade_duration,baseline_saccade_saccade_rate
edf01,IMG_11,5883.0,4445.0,444.5,10.0,807.0199999999999,614.1899999999998,4698.0,4445,3,1176.0,0.9461472967220094,5883.0,2.502,10.0,73.57,29.4,1.6998130205677375
edf01,IMG_12,5654.0,4344.0,334.15384615384613,13.0,1026.6076923076923,460.5846153846154,4585.0,3884,3,928.0,0.8471101417666304,5654.0,2.927692307692308,13.0,83.85384615384616,31.384615384615387,2.2992571630703926
edf01,IMG_13,6045.0,4475.0,406.8181818181818,11.0,881.3181818181821,680.8818181818183,4657.0,3236,4,1052.0,0.6948679407343784,6045.0,3.3572727272727283,11.0,89.06181818181818,30.54545454545455,1.8196856906534329
edf01,IMG_14,5837.0,4203.0,280.2,15.0,1041.7066666666665,532.3533333333332,4540.0,4540,3,845.0,1.0,5837.0,2.936666666666666,15.0,85.16933333333334,30.13333333333333,2.5698132602364234
edf01,IMG_15,5800.0,4352.0,435.2,10.0,859.18,482.87,4725.0,3653,2,807.0,0.7731216931216931,5800.0,1.985,10.0,66.613,26.8,1.7241379310344829
edf01,IMG_16,5812.0,4276.0,328.92307692307685,13.0,895.1769230769231,694.7384615384615,4512.0,2722,4,820.0,0.6032801418439716,5812.0,2.8453846153846163,13.0,89.03615384615385,36.92307692307692,2.2367515485203033
edf01,IMG_17,6032.0,4388.0,487.5555555555555,9.0,1047.0666666666666,630.8222222222222,4675.0,4675,2,1039.0,1.0,6032.0,2.1,9.0,75.93666666666667,35.333333333333336,1.4920424403183024
edf01,IMG_18,5710.0,4446.0,494.0,9.0,1001.8666666666667,850.4666666666667,4714.0,4714,2,718.0,1.0,5710.0,2.6311111111111107,9.0,81.63555555555557,30.88888888888889,1.5761821366024518
edf02,IMG_01,6086.0,4170.0,297.85714285714283,14.0,917.0285714285716,426.6928571428571,4399.0,4399,3,1095.0,1.0,6086.0,2.324,15.0,113.55,40.8,2.4646730200460065
edf02,IMG_02,5973.0,4105.0,293.2142857142857,14.0,946.9071428571428,446.64285714285705,4266.0,3778,5,981.0,0.8856071261134553,5973.0,1.7992857142857144,14.0,122.07928571428572,51.85714285714285,2.343880796919471
edf02,IMG_03,6043.0,4072.0,226.22222222222226,18.0,863.161111111111,479.4055555555555,4282.0,3480,5,1050.0,0.812704343764596,6043.0,2.0521052631578947,19.0,79.03631578947366,38.31578947368421,3.144133708422969
edf02,IMG_04,5892.0,4072.0,214.31578947368425,19.0,926.1368421052632,560.3526315789474,4253.0,4253,4,899.0,1.0,5892.0,2.3189473684210533,19.0,89.18473684210528,38.94736842105263,3.2247114731839783
edf02,IMG_05,5962.0,4192.0,698.6666666666665,6.0,916.1833333333334,403.89999999999986,4492.0,4492,4,970.0,1.0,5962.0,3.731666666666667,6.0,246.6733333333333,83.33333333333333,1.0063737001006374
edf02,IMG_06,5790.0,4120.0,274.6666666666667,15.0,931.0666666666667,564.4399999999998,4405.0,4120,3,1110.0,0.9353007945516458,5790.0,1.586,15.0,77.92533333333333,39.06666666666667,2.5906735751295336
edf02,IMG_07,6021.0,4097.0,215.63157894736838,19.0,812.8210526315789,422.0631578947368,4247.0,4055,8,1028.0,0.9547916176124324,6021.0,2.5136842105263155,19.0,110.07263157894737,39.26315789473684,3.155621989702708
edf02,IMG_08,6091.0,4314.0,359.5,12.0,878.2750000000002,449.3666666666666,4565.0,4565,3,1099.0,1.0,6091.0,1.2338461538461536,13.0,71.05461538461539,34.30769230769231,2.134296503037268
edf02,IMG_09,6127.0,4247.0,303.35714285714283,14.0,990.2,505.75714285714287,4440.0,4253,2,1135.0,0.9578828828828828,6127.0,1.082142857142857,14.0,79.62357142857142,39.42857142857143,2.2849681736575813
edf02,IMG_10,5992.0,3972.0,441.33333333333326,9.0,868.7111111111113,501.04444444444437,4374.0,4374,5,1184.0,1.0,5992.0,1.89,10.0,163.69299999999996,69.0,1.6688918558077437
edf02,IMG_11,6088.0,4292.0,330.15384615384613,13.0,956.4461538461541,492.6538461538463,4464.0,2722,3,1294.0,0.6097670250896058,6088.0,1.9423076923076918,13.0,99.67,40.615384615384606,2.135348226018397
edf02,IMG_12,5698.0,4002.0,210.63157894736838,19.0,979.6315789473683,544.1421052631578,4224.0,2828,5,962.0,0.6695075757575758,5698.0,2.8805263157894743,19.0,96.88157894736842,40.42105263157895,3.334503334503334
edf02,IMG_13,5676.0,3994.0,234.94117647058826,17.0,875.0882352941177,706.4411764705882,4204.0,2544,6,812.0,0.6051379638439581,5676.0,3.0322222222222215,18.0,94.86722222222221,47.22222222222222,3.171247357293869
edf02,IMG_14,5674.0,4104.0,228.0,18.0,892.7055555555555,602.9777777777776,4204.0,3742,5,1076.0,0.8901046622264509,5674.0,3.2221052631578933,19.0,84.63315789473684,47.05263157894736,3.3486076841734222
edf02,IMG_15,5699.0,4283.0,356.91666666666674,12.0,863.8833333333333,470.29166666666674,4520.0,3799,4,707.0,0.8404867256637168,5699.0,1.3358333333333332,12.0,105.85583333333334,39.333333333333336,2.105632567117038
edf02,IMG_16,5859.0,4145.0,592.1428571428571,7.0,933.2571428571428,683.9857142857143,4403.0,4145,3,1172.0,0.941403588462412,5859.0,2.152857142857143,7.0,214.34857142857143,84.0,1.1947431302270013
edf02,IMG_17,6045.0,2915.0,182.1875,16.0,936.15625,488.375,4198.0,4050,3,1053.0,0.9647451167222488,6045.0,1.2749999999999997,16.0,102.88375,49.625,2.6468155500413566
edf02,IMG_18,5693.0,4230.0,282.0,15.0,923.5666666666664,713.5800000000003,4511.0,3597,6,699.0,0.7973841720239415,5693.0,2.9526666666666666,15.0,79.01,32.13333333333333,2.6348146847005096
edf03,IMG_01,5713.0,4263.0,284.2,15.0,926.08,468.77333333333337,4527.0,4527,5,720.0,1.0,5713.0,2.723333333333333,15.0,76.26933333333334,31.066666666666666,2.6255907579205315
edf03,IMG_02,6038.0,4418.0,401.6363636363636,11.0,1004.3090909090907,382.94545454545454,4679.0,4679,3,1047.0,1.0,6038.0,2.2827272727272727,11.0,69.42272727272727,28.363636363636363,1.82179529645578
edf03,IMG_03,5832.0,3674.0,244.9333333333333,15.0,890.0200000000002,540.5066666666668,3914.0,3404,5,840.0,0.8696985181400102,5832.0,3.1973333333333334,15.0,171.45866666666663,71.86666666666666,2.57201646090535
edf03,IMG_04,5803.0,4375.0,364.58333333333326,12.0,796.7083333333335,496.525,4633.0,4179,4,1098.0,0.9020073386574574,5803.0,2.6025,12.0,73.46499999999997,30.0,2.067895915905566
edf03,IMG_05,5905.0,4347.0,334.38461538461536,13.0,882.4769230769232,356.60769230769233,4602.0,4602,3,913.0,1.0,5905.0,2.5230769230769234,13.0,75.31384615384616,30.0,2.2015241320914485
edf03,IMG_06,6122.0,4432.0,492.4444444444445,9.0,927.9888888888887,483.36666666666656,4702.0,4702,5,1130.0,1.0,6122.0,3.1411111111111105,9.0,83.80000000000003,32.22222222222222,1.4701078079059129
edf03,IMG_07,5956.0,4136.0,275.73333333333335,15.0,768.14,337.1333333333333,4405.0,4405,4,963.0,1.0,5956.0,3.72,16.0,90.56125,37.875,2.6863666890530555
edf03,IMG_08,6016.0,4170.0,260.625,16.0,811.4812500000003,482.83125000000007,4216.0,3550,4,1024.0,0.8420303605313093,6016.0,2.6125,16.0,121.705625,48.5,2.6595744680851063
edf03,IMG_09,5875.0,4035.0,403.5,10.0,925.69,393.09,4554.0,4406,6,883.0,0.9675010979358806,5875.0,2.2250000000000005,10.0,106.637,43.8,1.702127659574468
edf03,IMG_10,5880.0,4250.0,607.1428571428571,7.0,886.8571428571429,415.75714285714287,4530.0,3994,4,1184.0,0.8816777041942605,5880.0,1.8342857142857143,7.0,189.09571428571425,66.0,1.1904761904761905
edf03,IMG_11,5813.0,4299.0,358.25,12.0,879.7333333333331,546.8166666666667,4588.0,3401,4,1144.0,0.7412816041848299,5813.0,3.561666666666666,12.0,90.13416666666666,33.666666666666664,2.0643385515224497
edf03,IMG_12,5841.0,4106.0,315.84615384615387,13.0,915.8846153846154,372.37692307692316,4346.0,3660,9,1128.0,0.8421537045559134,5841.0,3.696428571428572,14.0,117.0542857142857,47.0,2.396849854476973
edf03,IMG_13,5709.0,4343.0,334.07692307692315,13.0,947.9846153846154,683.7461538461539,4575.0,3655,6,716.0,0.7989071038251366,5709.0,2.697692307692308,13.0,77.14307692307692,32.153846153846146,2.2771063233490985
edf03,IMG_14,6016.0,4210.0,263.125,16.0,843.1374999999998,518.875,4432.0,4062,3,1024.0,0.9165162454873648,6016.0,3.4975,16.0,89.61,35.0,2.6595744680851063
edf03,IMG_15,5787.0,4232.0,282.1333333333333,15.0,879.9333333333334,520.2799999999999,4490.0,1866,7,1314.0,0.4155902004454343,5787.0,2.771875,16.0,77.995,32.125,2.7648176948332472
edf03,IMG_16,5661.0,4101.0,241.2352941176471,17.0,798.7117647058824,583.635294117647,4337.0,2635,7,1198.0,0.6075628314503113,5661.0,4.344117647058824,17.0,104.75823529411764,38.588235294117645,3.0030030030030037
edf03,IMG_17,6080.0,4154.0,276.93333333333334,15.0,916.0133333333333,424.54,4434.0,3846,8,1088.0,0.8673883626522327,6080.0,4.0280000000000005,15.0,95.78133333333332,37.2,2.4671052631578947
edf03,IMG_18,6081.0,4223.0,301.64285714285717,14.0,938.0142857142856,684.9357142857143,4522.0,4522,6,1089.0,1.0,6081.0,3.3885714285714283,14.0,87.95785714285714,33.57142857142857,2.3022529189278083
edf04,IMG_01,5716.0,4184.0,321.84615384615387,13.0,966.4076923076924,479.8846153846154,4557.0,3971,5,723.0,0.8714066271669958,5716.0,3.589230769230769,13.0,92.6353846153846,33.53846153846154,2.274317704688593
edf04,IMG_02,5949.0,4477.0,639.5714285714286,7.0,1012.7142857142856,441.45714285714286,4806.0,4477,4,1312.0,0.9315439034540158,5949.0,2.2214285714285715,7.0,72.68857142857142,26.57142857142857,1.176668347621449
